pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,star_F,star_G,star_K,target,habitability_score,habitability_rank
1.14,195.89164,1.022678654,0.019,811.0,1.338589,5366.0,0.00432,0.16,False,True,False,1,0.9297548224531512,92
1.49,195.89164,0.568874717,0.0128,811.0,1.338589,5223.0,0.00432,0.07,False,True,False,1,0.9294051265873985,93
1.4,195.89164,0.679336747,0.0148,811.0,1.338589,5440.0,0.00432,0.21,False,True,False,1,0.928444138915418,94
1.725,195.89164,0.571292,0.01326,811.0,1.338589,5532.0,0.00432,0.11,False,True,False,1,0.9267560237198628,95
1.46954368,195.89164,1.0376109,0.02061,811.0,1.338589,5908.0,0.00432,0.11,False,True,False,1,0.926022277966467,96
1.98,195.89164,1.078389713,0.0196,811.0,1.338589,5325.0,0.00432,0.14,False,True,False,0,0.9255873308404832,97
1.75,195.89164,1.078390352,0.0196,811.0,1.338589,5325.0,0.00432,0.14,False,True,False,1,0.9254212178836726,98
1.82,195.89164,0.571331,0.0134,811.0,1.338589,5617.0,0.00432,0.13,False,True,False,0,0.9246180858718372,99
1.08,195.89164,0.968980781,0.0197,811.0,1.338589,5866.0,0.00432,0.18,False,True,False,1,0.9245441183516251,100
0.935,195.89164,0.3652575,0.00962,811.0,1.338589,5334.0,0.00432,0.02,False,True,False,1,0.9233462355779638,101
1.09,195.89164,0.968972376,0.0196,811.0,1.338589,5853.0,0.00432,0.18,False,True,False,1,0.922876376724906,102
1.51,195.89164,0.568874427,0.0129,811.0,1.338589,5216.0,0.00432,0.06,False,True,False,1,0.9217490392554423,103
0.93,195.89164,1.1161319,0.021,811.0,1.338589,5706.0,0.00432,0.011,False,True,False,1,0.9217254902863554,104
1.22,195.89164,0.524176094,0.0123,811.0,1.338589,5210.0,0.00432,0.21,False,True,False,1,0.9208240832735141,105
1.38,195.89164,0.571038518,0.0129,811.0,1.338589,5203.0,0.00432,0.22,False,True,False,1,0.9199372291996999,106
1.35,195.89164,1.0391353,0.02085,811.0,1.338589,5987.0,0.00432,0.1,False,True,False,1,0.9192878204127768,107
1.641,195.89164,0.921032135,0.01982,811.0,1.338589,5988.0,0.00432,0.18,False,True,False,1,0.9188287953956096,108
1.574,195.89164,0.959632,0.01752,811.0,1.338589,5286.0,0.00432,0.03,False,True,False,1,0.9170120685108121,109
1.82,195.89164,0.571336,0.01312,811.0,1.338589,5496.0,0.00432,0.06,False,True,False,0,0.9151122474506492,110
1.0,195.89164,1.116127169,0.0209,811.0,1.338589,5721.0,0.00432,0.02,False,True,False,1,0.9139704142716982,111
2.366165385,195.89164,0.322963997,0.0102,811.0,1.338589,5615.0,0.00432,0.011,False,True,False,0,0.913068457827251,112
1.545,195.89164,0.93875077,0.01867,811.0,1.338589,5568.0,0.00432,0.15,False,True,False,1,0.9113771405159421,113
1.62,195.89164,0.3524728,0.0097,811.0,1.338589,5534.0,0.00432,0.22,False,True,False,1,0.9101793821248801,114
1.46,195.89164,0.938750221,0.0185,811.0,1.338589,5497.0,0.00432,0.16,False,True,False,1,0.9083827051464765,115
1.32,195.89164,0.740928422,0.0153,811.0,1.338589,5618.0,0.00432,-0.18,False,True,False,1,0.9031503362863293,116
1.22,195.89164,0.740926358,0.0153,811.0,1.338589,5618.0,0.00432,-0.18,False,True,False,1,0.902701966721112,117
1.58,195.89164,0.938466959,0.0182,811.0,1.338589,5499.0,0.00432,0.12,False,True,False,1,0.9021480169943099,118
1.42,195.89164,0.470269,0.0935,811.0,1.338589,5377.0,0.00432,0.04,False,True,False,1,0.9014016789587572,119
0.81864346,195.89164,0.570233,0.0935,811.0,1.338589,5396.0,0.00432,0.05,False,True,False,1,0.8999884040230406,120
0.958,195.89164,1.116128999,0.02103,811.0,1.338589,5756.0,0.00432,0.13,False,True,False,1,0.8996401978621179,121
0.7,195.89164,0.971915428,0.0187,811.0,1.338589,5406.0,0.00432,0.07,False,True,False,0,0.8963099235897126,122
1.19,195.89164,0.664073806,0.0143,811.0,1.338589,5177.0,0.00432,0.16,False,False,True,1,0.8955389184930483,123
1.19,195.89164,0.664074145,0.0143,811.0,1.338589,5178.0,0.00432,0.16,False,False,True,1,0.8955389184930483,124
1.712,195.89164,0.571,0.0935,811.0,1.338589,5496.0,0.00432,0.06,False,True,False,1,0.8948866275516273,125
0.83,195.89164,0.693842661,0.0148,811.0,1.338589,5457.0,0.00432,0.14,False,True,False,1,0.8920995644450835,126
