,pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitability_score,habitable
5032,1.45,4.04,2.470498,0.11415,0.0,5475.0,0.03,0.92,4.17,0.91,-6.622707807602888,0
5033,2.87,16.9,9.139703,0.09103,0.18,6146.0,0.14,1.264,2.3,1.204,-7.984119485045552,0
5034,2.43818351,34.3,35.806,0.2263,0.237,6146.0,0.14,1.264,2.3,1.204,-7.834288525603116,0
5035,2.265,10.15,4.11296,0.052,0.177,5328.0,0.14,0.84,2.5,0.94,-6.672361579121314,0
5036,2.43818351,9.78,7.972,0.08,0.14,5328.0,0.14,0.84,2.5,0.94,-6.720117561016203,0
5037,2.587,13.5,6.443868,0.06152,0.047,4734.0,0.05,0.726,9.225,0.748,-5.942533894945576,1
5038,2.651,2.5,12.226574,0.09429,0.088,4734.0,0.05,0.726,9.225,0.748,-5.956819482084345,1
5039,1.791,9.95,0.6047328,0.01159,0.0,3875.0,-0.08,0.581,6.0,0.604,-4.518166182971382,1
5040,7.777125000000002,1064.725163,4.0782387,0.0561,0.025,6311.0,-0.1,1.81,2.6,1.35,-9.690661992915842,0
5041,2.46,8.9,2.22816,0.033,0.0,5635.0,0.136,1.05,4.42,0.97,-7.160099837688669,0
5042,2.43818351,8.78,4.579,0.0534,0.0,5635.0,0.136,1.05,4.42,0.97,-7.150495567454946,0
5043,2.43818351,10.71,8.665,0.0817,0.0,5635.0,0.136,1.05,4.42,0.97,-7.146251506302281,0
5044,3.66,19.8,4.074554,0.0453,0.052162,4360.0,0.11,0.697,5.4,0.745,-5.747421912405593,1
5045,7.777125000000002,336.0,8.3501898,0.0731,0.0398,4360.0,0.11,0.697,5.4,0.745,-6.978390334665519,0
5046,7.777125000000002,176.0769375,8.0277283,0.082337403,0.09,5962.7,0.02,1.15,4.17,1.156039,-9.2029772528869,0
5047,2.43818351,3.5,4.1727,0.05106,0.027,5770.0,0.07,0.968,0.7,1.022,-7.338346489825873,0
5048,2.43818351,6.32,6.2574,0.0669,0.11,5770.0,0.07,0.968,0.7,1.022,-7.335971015314982,0
5049,2.43818351,8.35,12.5199,0.1062,0.042,5770.0,0.07,0.968,0.7,1.022,-7.33007731908531,0
5050,2.43818351,6.07,18.801,0.11415,0.0425,5770.0,0.07,0.968,0.7,1.022,-7.328885082825109,0
5051,2.43818351,9.7,26.321,0.174,0.001,5770.0,0.07,0.968,0.7,1.022,-7.319909568337937,0
5052,2.43818351,5.6,39.545,0.229,0.04,5770.0,0.07,0.968,0.7,1.022,-7.3116613929528995,0
5053,7.777125000000002,27.4,7.06466,0.0696,0.023,5350.0,0.139,0.934,8.7,0.911,-8.353915218553658,0
5054,2.562,176.0769375,8.953487683,0.07994,0.09,5030.0,0.02,0.76,4.17,0.85,-6.343382617136825,0
5055,3.072,176.0769375,9.686760378,0.080799,0.09,4738.0,0.02,0.73,4.17,0.75,-6.090698240078439,0
5056,7.777125000000002,374.7196919,2.103189,0.11415,0.011,6054.0,0.38,1.9420000000000004,2.7,1.467,-9.325011974269556,0
5057,2.39,176.0769375,5.748433803,0.056027,0.09,4534.0,0.02,0.69,4.17,0.71,-5.606479884938526,1
5058,7.777125000000002,120.0,2.3106446,0.034,0.0,5394.0,0.348,0.9608,4.9,0.9835,-8.420365148641267,0
5059,7.777125000000002,75.96098927,3.671463,0.04988,0.03,5710.0,0.42,1.45,4.2,1.23,-8.856872564346256,0
5060,2.415,6.28,2.4919863,0.0287,0.0,3476.0,0.05,0.508,4.17,0.512,-4.148633583925843,1
5061,1.52,3.51,4.1572888,0.04869,0.067,5737.0,-0.38,1.179,9.225,0.886,-7.017413524868223,0
5062,2.43818351,5.46,13.0766,0.11415,0.092,5737.0,-0.38,1.179,9.225,0.886,-7.283051749491777,0
5063,2.918,7.39,25.502672,0.1632,0.032,5737.0,-0.38,1.179,9.225,0.886,-7.419640823716576,0
5064,2.43818351,42.1,92.086427889875,0.11415,0.152,5737.0,-0.38,1.179,9.225,0.886,-7.283051749491777,0
5065,2.72,176.0769375,5.07803,0.0392,0.0,3442.0,0.02,0.334,2.0,0.312,-4.191336710039206,1
