pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,pl_orbeccen,rank
Kepler-443 b,1,0.9999022196147452,99.99022196147452,1,2.2,246.0,0.86,4907.0,0.0,51
Kepler-443 b,1,0.9999022196147452,99.99022196147452,1,2.32,233.0,0.7,4721.0,0.0,52
Kepler-309 c,1,0.9999022196147452,99.99022196147452,1,1.87,204.0,0.41,3883.0,0.0,53
Kepler-309 c,1,0.9999022196147452,99.99022196147452,1,2.09,203.0,0.4,3880.0,0.0,54
Kepler-309 c,1,0.9999022196147452,99.99022196147452,1,2.09,203.0,0.4,3880.0,0.0,55
Kepler-309 c,1,0.9999022196147452,99.99022196147452,1,2.09,203.0,0.4,3880.0,0.0,56
Kepler-442 b,1,0.9999022196147452,99.99022196147452,1,1.3,241.0,0.79,4401.0,0.0,57
Kepler-155 c,1,0.9999022196147452,99.99022196147452,1,1.97,286.0,1.03,4057.0,0.0,58
Kepler-442 b,1,0.9999022196147452,99.99022196147452,1,1.56,260.0,1.08,4569.0,0.0,59
Kepler-442 b,1,0.9999022196147452,99.99022196147452,1,1.56,260.0,1.08,4569.0,0.0,60
Kepler-1649 b,1,0.9999022196147452,99.99022196147452,1,0.57,211.0,0.47,2703.0,0.0,61
TOI-904 c,1,0.9999022196147452,99.99022196147452,1,2.3408341,219.12,0.5449,3992.0,0.0,62
Kepler-1544 b,1,0.9999022196147452,99.99022196147452,1,1.69,241.0,0.8,4798.0,0.0,63
Kepler-1544 b,1,0.9999022196147452,99.99022196147452,1,1.83,256.0,1.02,4893.0,0.0,64
Kepler-1544 b,1,0.9999022196147452,99.99022196147452,1,1.79,269.0,0.82,4820.0,0.0,65
Kepler-1544 b,1,0.9999022196147452,99.99022196147452,1,1.83,256.0,1.02,4893.0,0.0,66
Kepler-1544 b,1,0.9999022196147452,99.99022196147452,1,1.83,256.0,1.02,4893.0,0.0,67
Kepler-1632 b,1,0.9999022196147452,99.99022196147452,1,1.66,232.0,0.68,6070.0,0.0,68
LHS 1140 b,1,0.9999022196147452,99.99022196147452,1,1.73,226.0,0.43,3096.0,0.043,69
LHS 1140 b,1,0.9999022196147452,99.99022196147452,1,1.727,235.0,0.503,3216.0,0.06,70
LHS 1140 b,1,0.9999022196147452,99.99022196147452,1,1.43,230.0,0.46,3131.0,0.29,71
Kepler-1632 b,1,0.9999022196147452,99.99022196147452,1,1.66,232.0,0.68,6070.0,0.0,72
Kepler-174 d,1,0.9999022196147452,99.99022196147452,1,2.29,212.0,0.48,4859.0,0.0,73
Kepler-296 f,1,0.9999022196147452,99.99022196147452,1,1.23,199.0,0.37,3517.0,0.0,74
Kepler-296 f,1,0.9999022196147452,99.99022196147452,1,1.23,199.0,0.37,3517.0,0.0,75
Kepler-296 f,1,0.9999022196147452,99.99022196147452,1,1.23,199.0,0.37,3517.0,0.0,76
Kepler-296 f,1,0.9999022196147452,99.99022196147452,1,1.18,202.0,0.39,3526.0,0.0,77
Kepler-296 e,1,0.9999022196147452,99.99022196147452,1,1.08,244.0,0.84,3517.0,0.0,78
Kepler-296 e,1,0.9999022196147452,99.99022196147452,1,1.06,248.0,0.89,3526.0,0.0,79
Kepler-296 e,1,0.9999022196147452,99.99022196147452,1,1.08,244.0,0.84,3517.0,0.0,80
Kepler-296 e,1,0.9999022196147452,99.99022196147452,1,1.08,244.0,0.84,3517.0,0.0,81
Kepler-1540 b,1,0.9999022196147452,99.99022196147452,1,2.3,238.0,0.75,4366.0,0.0,82
LP 890-9 c,1,0.9999022196147452,99.99022196147452,1,1.367,272.0,0.906,2850.0,0.0,83
Kepler-22 b,1,0.9999022196147452,99.99022196147452,0,2.1,279.0,1.013,5596.0,0.72,84
