pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_dens,pl_orbeccen,pl_orbincl,pl_insol,pl_eqt,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_rvamp,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_spectype,sy_dist,sy_plx,sy_snum,sy_pnum,sy_vmag,sy_gaiamag,discoverymethod,HSI,SCI,OSF,is_habitable,sy_kepmag,pl_masse,pl_cmasse,elat,pl_imppar,pl_msinie,sy_w1mag,ra,sy_pm,sy_pmra,sy_w4mag
KMT-2018-BLG-1996L b,KMT-2018-BLG-1996L,3879.783500370899,0.50775,9.049332515454054,346.4329636,0.2960342733046515,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,18.05709949060295,5558.0,0.9525,0.69,0.01,0.0866649999999999,4.45,4.1,1.50018,G,5910.0,0.1692047377326565,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,346.4329636,346.4329636,0.61328,0.39355,346.4329636,11.3815,268.6785,6.805369089953902,-1.15564,8.969
KMT-2018-BLG-2602L b,KMT-2018-BLG-2602L,3343.533819090173,0.50775,9.049332515454054,365.5026681,0.288208193373961,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,20.621647585913564,5558.0,0.9525,0.66,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4310.0,0.2320185614849187,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,365.5026681,365.5026681,1.44127,0.39355,365.5026681,11.3815,267.3970417,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0253L b,KMT-2019-BLG-0253L,2382.778898212727,0.50775,3.03315017762062,9.2,1.8165932042053927,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.5587598925415879,5558.0,0.9525,0.7,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4900.0,0.2040816326530612,1,1,13.23,12.96845,Microlensing,9.202045197850488e-18,0.6883344090345422,0.0001110987668036885,0,14.2635,9.2,9.2,-6.1398,0.39355,9.2,11.3815,267.8825833,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0297L b,KMT-2019-BLG-0297L,749.6998549133798,0.50775,9.049332515454054,366.2115375,0.0709052581934559,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,1203.284473814064,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,3090.0,0.3236245954692556,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,6038.739733,6038.739733,-5.52601,0.39355,6038.739733,11.3815,270.0632917,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0298L b,KMT-2019-BLG-0298L,5894.0768341662815,0.50775,9.049332515454054,366.2115375,0.2297290707258169,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,25.834377499927232,5558.0,0.9525,0.7,0.01,0.0866649999999999,4.45,4.1,1.50018,G,6710.0,0.1490312965722801,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,575.2694167,575.2694167,-4.2797,0.39355,575.2694167,11.3815,264.878,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0335L b,KMT-2019-BLG-0335L,1356.0665628989232,0.50775,9.049332515454054,366.2115375,0.0674443534825041,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,824.2944152852966,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7710.0,0.1297016861219196,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,6674.396547,6674.396547,-6.30686,0.39355,6674.396547,11.3815,262.840125,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0371L b,KMT-2019-BLG-0371L,854.8887595434568,0.50775,9.049332515454054,366.2115375,0.1113806840176407,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,821.1375276476626,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7010.0,0.1426533523537803,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,2447.278734,2447.278734,-8.12354,0.39355,2447.278734,11.3815,268.3839167,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0414L b,KMT-2019-BLG-0414L,530.4706358584875,0.50775,9.049332515454054,366.2115375,0.1445763123694656,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,140.25918837860274,5558.0,0.9525,0.74,0.01,0.0866649999999999,4.45,4.1,1.50018,G,4410.0,0.2267573696145124,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,1452.47582,1452.47582,1.5395,0.39355,1452.47582,11.3815,268.8529167,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0578L b,KMT-2019-BLG-0578L,1952.34337217026,0.50775,9.049332515454054,366.2115375,0.2821399728712273,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,45.59814848137504,5558.0,0.9525,0.3295000000000001,0.01,0.0866649999999999,4.45,4.1,1.50018,G,7300.0,0.136986301369863,1,1,13.23,12.96845,Microlensing,1.9950640240900476e-70,0.6883344090345422,0.0001110987668036885,0,14.2635,381.3940884,381.3940884,-4.3564,0.39355,381.3940884,11.3815,269.4846667,6.805369089953902,-1.15564,8.969
KMT-2019-BLG-0842L b,KMT-2019-BLG-0842L,2523.0474553617664,0.50775,3.20624390837628,10.28,1.7185217835752238,0.0,88.81,60.0,759.3188845661498,0.07974,3.3,17.58,0.026959,0.5798819442628322,5558.0,0.9525,0.76,0.01,0.0866649999999999,4.45,4.1,1.50018,G,3320.0,0.3012048192771084,1,1,13.23,12.96845,Microlensing,2.1297320561626838e-18,0.6883344090345422,0.0001110987668036885,0,14.2635,10.28,10.28,-6.44536,0.39355,10.28,11.3815,268.458458,6.805369089953902,-1.15564,8.969
