pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-491 b,-0.03664219078299707,-0.1227152091663114,-0.005440483415295566,-0.12737739287788846,-0.01982812812908841,0.03265868931513745,-0.06022735993985981,0.04932099573263318,0.12798281799010294,2.31,188.15536,4.2253841112,798.0,1.325,5501.0,1.03122,0.96,-0.05683,0
Kepler-491 b,0.07925887120283814,-0.1227152091663114,-0.005440483415096261,0.9826911578974379,-0.01982812812908841,0.18821711797404211,-0.04625031900017444,0.42134277745867704,0.04710786240144971,9.16,188.15536,4.225384512,1118.0,1.325,5649.0,1.055,1.071,-0.08612,0
Kepler-491 b,0.07519810406756801,-0.1227152091663114,-0.005440483415096261,-0.12737739287788846,-0.01982812812908841,0.11779539689197041,-0.06094443268781676,0.31744480238203443,0.04710786240144971,8.92,188.15536,4.225384512,798.0,1.325,5582.0,1.03,1.04,-0.08612,0
Kepler-491 b,0.09347155617628364,-0.1227152091663114,-0.005440483415052501,1.1179807625231808,-0.01982812812908841,0.07470150787159817,0.02134260396298046,0.34090563546385666,0.04710786240144971,10.0,188.15536,4.2253846,1157.0,1.325,5541.0,1.17,1.047,-0.08612,0
Kepler-491 b,0.07467899691602253,-0.1227152091663114,-0.005440483432344782,0.9099816678216539,-0.01982812812908841,0.03265868931513745,-0.06022735993985981,0.04596944814951567,0.04710786240144971,8.88931966,188.15536,4.22534982536,1097.04,1.325,5501.0,1.03122,0.959,-0.08612,0
Kepler-491 b,-0.03664219078299707,-0.1227152091663114,-0.005440483415080845,-0.12737739287788846,-0.01982812812908841,0.03265868931513745,-0.06022735993985981,0.04932099573263318,0.12798281799010294,2.31,188.15536,4.225384543,798.0,1.325,5501.0,1.03122,0.96,-0.05683,0
Kepler-491 b,0.07925887120283814,-0.1227152091663114,-0.005440483415096261,0.9826911578974379,-0.01982812812908841,0.18821711797404211,-0.04625031900017444,0.42134277745867704,0.04710786240144971,9.16,188.15536,4.225384512,1118.0,1.325,5649.0,1.055,1.071,-0.08612,0
Kepler-491 b,0.07925887120283814,-0.1227152091663114,-0.005440483415096261,0.9826911578974379,-0.01982812812908841,0.18821711797404211,-0.04625031900017444,0.42134277745867704,0.04710786240144971,9.16,188.15536,4.225384512,1118.0,1.325,5649.0,1.055,1.071,-0.08612,0
Kepler-491 b,0.06848091843130864,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,0.05473116905727932,-0.07975289820799901,0.04596944814951567,0.04710786240144971,8.523,188.15536,10.3039,798.0,1.325,5522.0,0.998,0.959,-0.08612,0
Kepler-491 b,0.06888699514483568,-0.1227152091663114,-0.005440483415096261,-0.12737739287788846,-0.01982812812908841,0.05473116905727932,-0.08798160187307874,0.3308509927145045,0.04710786240144971,8.547,188.15536,4.225384512,798.0,1.325,5522.0,0.984,1.044,-0.08612,0
Kepler-491 b,0.07655169311265805,-0.1227152091663114,-0.005440483415080845,0.9584084083492276,-0.01982812812908841,0.10938683318067827,-0.04683808354768007,0.26717158863527135,0.04710786240144971,9.0,188.15536,4.225384543,1111.0,1.325,5574.0,1.054,1.025,-0.08612,0
Kepler-257 b,-0.031566231863909396,-0.1227152091663114,-0.005441399737676069,-0.12737739287788846,-0.01982812812908841,-0.30473492960045984,-0.05683008085527696,0.04596944814951567,0.04710786240144971,2.61,188.15536,2.382667,798.0,1.325,5180.0,1.037,0.959,-0.08612,0
Kepler-257 b,-0.03664219078299707,-0.1227152091663114,-0.005441399744816822,-0.12737739287788846,-0.01982812812908841,-0.5233575860940556,-0.1534644501106882,-0.41989566590381866,-0.7576103710146342,2.31,188.15536,2.38265264,798.0,1.325,4972.0,0.87259,0.82,-0.37756,0
Kepler-257 b,-0.030551040080091862,-0.1227152091663114,-0.005441399745051035,1.3954979002170123,-0.01982812812908841,-0.2963263658891677,-0.09444701189564139,-0.2590213819141779,0.04710786240144971,2.67,188.15536,2.382652169,1237.0,1.325,5188.0,0.973,0.868,-0.08612,0
Kepler-257 b,-0.029366649665638067,-0.1227152091663114,-0.005441399744700959,1.3954979002170123,-0.01982812812908841,-0.2963263658891677,-0.09444701189564139,-0.2590213819141779,0.04710786240144971,2.74,188.15536,2.382652873,1237.0,1.325,5188.0,0.973,0.868,-0.08612,0
Kepler-257 b,-0.030551040080091862,-0.1227152091663114,-0.005441399745051035,1.3954979002170123,-0.01982812812908841,-0.2963263658891677,-0.09444701189564139,-0.2590213819141779,0.04710786240144971,2.67,188.15536,2.382652169,1237.0,1.325,5188.0,0.973,0.868,-0.08612,0
Kepler-257 b,-0.03848645585693226,-0.1227152091663114,-0.005441399745051035,-0.12737739287788846,-0.01982812812908841,-0.369901298362974,-0.19554251406662088,-0.09814709792453714,0.04710786240144971,2.201,188.15536,2.382652169,798.0,1.325,5118.0,0.801,0.916,-0.08612,0
Kepler-257 b,-0.03816497845872337,-0.1227152091663114,-0.005441399745051035,-0.12737739287788846,-0.01982812812908841,-0.27425388614702584,-0.1902526331390696,-0.31934923841029317,0.04710786240144971,2.22,188.15536,2.382652169,798.0,1.325,5209.0,0.81,0.85,-0.08612,0
Kepler-257 b,-0.030551040080091862,-0.1227152091663114,-0.005441399745051035,1.3954979002170123,-0.01982812812908841,-0.2963263658891677,-0.09444701189564139,-0.2590213819141779,0.04710786240144971,2.67,188.15536,2.382652169,1237.0,1.325,5188.0,0.973,0.868,-0.08612,0
Kepler-257 b,-0.041887348332720994,-0.1227152091663114,-0.005441399738173336,0.847401553271695,-0.01982812812908841,-0.43296552619766504,-0.22551850598941134,-0.6880194725532195,0.04710786240144971,2.0,188.15536,2.382666,1079.0,1.325,5058.0,0.75,0.74,-0.08612,0
Kepler-257 b,-0.03664219078299707,-0.1227152091663114,-0.005441399744700959,-0.12737739287788846,-0.01982812812908841,-0.5233575860940556,-0.1534644501106882,-0.41989566590381866,-0.7576103710146342,2.31,188.15536,2.382652873,798.0,1.325,4972.0,0.87259,0.82,-0.37756,0
Kepler-257 b,-0.03664219078299707,-0.1227152091663114,-0.005441399749506399,-0.12737739287788846,-0.01982812812908841,-0.5233575860940556,-0.1534644501106882,-0.41989566590381866,-0.7576103710146342,2.31,188.15536,2.3826432093,798.0,1.325,4972.0,0.87259,0.82,-0.37756,0
Kepler-216 b,-0.03664219078299707,-0.1227152091663114,-0.005438758768004333,-0.12737739287788846,-0.01982812812908841,0.6553653856595162,0.2915320888058734,0.6525995606937853,1.7161858123580596,2.31,188.15536,7.69363627,798.0,1.325,6093.45,1.62969,1.14,0.51836,0
Kepler-216 b,-0.03985696476508593,-0.1227152091663114,-0.005438758768004333,0.812711911059966,-0.01982812812908841,0.6475349107033755,0.04837977314824245,0.22695301763786113,0.04710786240144971,2.12,188.15536,7.69363627,1069.0,1.325,6086.0,1.216,1.013,-0.08612,0
Kepler-216 b,-0.0434101360084473,-0.1227152091663114,-0.005438758765940675,0.583760272462555,-0.01982812812908841,0.8482893693104755,-0.060356668140311126,0.4682644436223223,0.04710786240144971,1.91,188.15536,7.69364042,1003.0,1.325,6277.0,1.031,1.085,-0.08612,0
Kepler-216 b,-0.02721782705655762,-0.1227152091663114,-0.005438758765940675,-0.12737739287788846,-0.01982812812908841,0.6822202360124556,0.24175430927761601,0.6056778945301401,0.04710786240144971,2.867,188.15536,7.69364042,798.0,1.325,6119.0,1.545,1.126,-0.08612,0
Kepler-216 b,-0.02894365308904743,-0.1227152091663114,-0.005437460770031514,-0.12737739287788846,-0.01982812812908841,0.6822202360124556,0.26761594936786665,0.04596944814951567,0.04710786240144971,2.765,188.15536,10.3039,798.0,1.325,6119.0,1.589,0.959,-0.08612,0
Kepler-216 b,-0.03664219078299707,-0.1227152091663114,-0.005438758799981384,-0.12737739287788846,-0.01982812812908841,0.6553653856595162,0.2915320888058734,0.6525995606937853,1.7161858123580596,2.31,188.15536,7.6935719644,798.0,1.325,6093.45,1.62969,1.14,0.51836,0
Kepler-216 b,-0.0434101360084473,-0.1227152091663114,-0.005438758765940675,0.583760272462555,-0.01982812812908841,0.8482893693104755,-0.060356668140311126,0.4682644436223223,0.04710786240144971,1.91,188.15536,7.69364042,1003.0,1.325,6277.0,1.031,1.085,-0.08612,0
Kepler-216 b,-0.03799577982808711,-0.1227152091663114,-0.005438758765940675,-0.12737739287788846,-0.01982812812908841,0.7063948566824205,0.03897554038815132,0.5520531332002605,0.04710786240144971,2.23,188.15536,7.69364042,798.0,1.325,6142.0,1.2,1.11,-0.08612,0
