pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,habitable
0.159855615,0.234452233,-0.005490083,-0.019630196,4.127325132,-0.051377316,0.773660427,0.045651808,2.135150964,0
-0.036334637,-0.113895617,-0.005428106,-0.016088461,-0.127374504,-0.019457094,-0.722594497,0.045651808,-2.184315132,0
0.169995541,0.581527813,-0.005490261,-0.019677521,3.328697086,-0.039769963,0.151977043,0.045651808,1.470617719,0
-0.025110603,-0.113895617,-0.005487449,-0.019109172,-0.127374504,-0.019457094,0.688310674,0.045651808,0.47381785,0
-0.057274999,-0.113895617,-0.005489666,-0.019585085,2.460319865,-0.019457094,0.539738882,0.045651808,-0.578359788,0
-0.036334637,-0.113895617,-0.005432187,-0.016132759,-0.127374504,-0.019457094,0.63246454,0.045651808,1.154964427,0
-0.036334637,-0.113895617,-0.004424576,0.004288825,-0.127374504,-0.019457094,0.504966761,0.045651808,-0.633737559,0
-0.029633722,-0.113895617,-0.005472021,-0.018164581,-1.020163936,-0.019457094,0.507074162,0.045651808,0.47381785,0
-0.061178283,-0.113895617,-0.005489491,-0.019568104,-0.127374504,-0.019457094,0.072949494,0.045651808,0.47381785,0
-0.044878305,-0.113895617,-0.005489247,-0.019519376,1.309458488,-0.019457094,0.484946448,0.045651808,0.47381785,0
-0.051411698,-0.113895617,-0.005484804,-0.019043906,0.482930771,-0.019457094,1.029709685,0.045651808,-0.910626411,0
-0.036334637,-0.113895617,-0.005486775,-0.019109172,-0.127374504,-0.019457094,0.072159219,0.036534453,-2.805099939,0
-0.024608035,-0.113895617,-0.005489847,-0.019610188,2.498681911,-0.019457094,0.659860756,0.045651808,0.064576127,0
-0.036334637,-0.113895617,-0.005484541,-0.019109172,-0.127374504,-0.019457094,0.678827368,2.869263094,0.064576127,0
-0.036334637,-0.113895617,-0.005487553,-0.019109172,-0.127374504,-0.019457094,-1.285270645,-2.060233461,0.064576127,0
-0.036334637,-0.113895617,-0.004855837,-0.00213445,-0.127374504,-0.019457094,0.144601138,0.045651808,1.138351096,0
-0.035832069,-0.113895617,-0.005488297,-0.019455881,-0.305234899,-0.019457094,-0.793192441,0.045651808,0.196928998,0
-0.036334637,-0.113895617,-0.005484916,-0.019109172,-0.127374504,-0.019457094,0.130966252,0.184509684,0.368600086,0
-0.029466199,-0.113895617,-0.005410327,-0.015694205,-1.930390662,-0.019457094,-0.149381343,0.045651808,-0.024582084,0
-0.044040691,-0.353653211,-0.00548845,-0.019511254,-0.528432257,0.137242177,-1.511816284,-2.823937797,-0.966004182,0
-0.047558671,-0.113895617,-0.00548538,-0.019109172,-0.127374504,-0.019457094,0.76206972,0.045651808,-0.079959854,0
0.176192163,0.646668098,-0.005490502,-0.019723813,4.277285857,-0.037448492,0.13090303,0.189236166,1.63675103,0
