pl_name,predicted_class,habitability_probability,habitability_score,actual_label,pl_rade,pl_eqt,pl_insol,st_teff,rank
TRAPPIST-1 e,1,0.84531826,84.53182,0,0.918,251.3,0.662,2559.0,93
Kepler-22 b,1,0.6454037,64.54037,0,2.1,279.0,1.013,5596.0,94
Kepler-1229 b,0,0.3563318,35.63318,0,1.34,212.0,0.296,3577.0,95
Kepler-1455 b,0,0.15330736,15.330736,0,1.93,298.0,1.16,3950.0,96
Kepler-1649 c,0,0.14715654,14.715653,0,0.53,161.0,0.16,2703.0,97
LHS 1140 b,0,0.09629186,9.629187,0,1.84394531,157.09,0.1439,3131.0,98
TRAPPIST-1 d,0,0.06602265,6.602265,0,0.804,286.0,1.119,2566.0,99
Kepler-174 d,0,0.057952046,5.7952046,0,2.1,194.0,0.34,4590.0,100
Kepler-174 d,0,0.057952046,5.7952046,0,2.1,194.0,0.34,4590.0,101
Kepler-174 d,0,0.057952046,5.7952046,0,2.1,194.0,0.34,4590.0,102
Kepler-62 e,0,0.05659732,5.659732,0,1.73,265.0,1.17,4797.0,103
Kepler-62 e,0,0.05659732,5.659732,0,1.73,265.0,1.17,4797.0,104
Kepler-62 e,0,0.05659732,5.659732,0,1.73,265.0,1.17,4797.0,105
Kepler-186 f,0,0.05534354,5.5343537,0,1.18,177.0,0.23,3751.0,106
Kepler-560 b,0,0.053111743,5.3111744,0,1.55,267.0,1.21,3395.0,107
Kepler-1341 b,0,0.048523128,4.852313,0,2.51,241.0,0.8,4523.0,108
Kepler-395 c,0,0.044557102,4.4557104,0,1.25,264.0,1.14,3735.0,109
Kepler-395 c,0,0.044557102,4.4557104,0,1.25,264.0,1.14,3735.0,110
Kepler-395 c,0,0.044557102,4.4557104,0,1.25,264.0,1.14,3735.0,111
Kepler-186 f,0,0.04269591,4.269591,0,1.06,179.0,0.25,3761.0,112
Kepler-186 f,0,0.04269591,4.269591,0,1.06,179.0,0.25,3761.0,113
Kepler-186 f,0,0.04269591,4.269591,0,1.06,179.0,0.25,3761.0,114
Kepler-1840 b,0,0.03248614,3.248614,0,2.55,249.0,0.9,4696.0,115
Kepler-1840 b,0,0.03248614,3.248614,0,2.55,249.0,0.9,4696.0,116
Kepler-1840 b,0,0.03248614,3.248614,0,2.55,249.0,0.9,4696.0,117
Kepler-560 b,0,0.03172685,3.172685,0,1.57,270.0,1.26,3387.0,118
Kepler-560 b,0,0.03172685,3.172685,0,1.57,270.0,1.26,3387.0,119
Kepler-560 b,0,0.03172685,3.172685,0,1.57,270.0,1.26,3387.0,120
Kepler-235 e,0,0.030523777,3.0523777,0,1.94,265.0,1.16,3887.0,121
Kepler-235 e,0,0.030523777,3.0523777,0,1.94,265.0,1.16,3887.0,122
Kepler-235 e,0,0.030523777,3.0523777,0,1.94,265.0,1.16,3887.0,123
Kepler-441 b,0,0.015662303,1.5662303,0,1.56,189.0,0.3,4339.0,124
TRAPPIST-1 g,0,0.01506618,1.506618,0,1.127,198.6,0.258,2559.0,125
TRAPPIST-1 h,0,0.014708672,1.4708672,0,0.755,168.0,0.131,2559.0,126
Kepler-441 b,0,0.014601166,1.4601166,0,1.93,194.0,0.34,4243.0,127
Kepler-441 b,0,0.014601166,1.4601166,0,1.93,194.0,0.34,4243.0,128
Kepler-441 b,0,0.014601166,1.4601166,0,1.93,194.0,0.34,4243.0,129
TRAPPIST-1 f,0,0.012644478,1.2644478,0,1.045,219.0,0.382,2559.0,130
Kepler-1229 b,0,0.012246997,1.2246997,0,1.68,196.0,0.35,3576.0,131
Kepler-1661 b,0,0.01196089,1.196089,0,3.87,243.0,0.88,5100.0,132
Kepler-1229 b,0,0.011903497,1.1903497,0,1.12,196.0,0.35,3724.0,133
Kepler-1229 b,0,0.011903497,1.1903497,0,1.12,196.0,0.35,3724.0,134
Kepler-1229 b,0,0.011903497,1.1903497,0,1.12,196.0,0.35,3724.0,135
Kepler-712 c,0,0.011083173,1.1083173,0,4.48,244.0,0.84,5330.0,136
Kepler-712 c,0,0.011083173,1.1083173,0,4.48,244.0,0.84,5330.0,137
Kepler-712 c,0,0.011083173,1.1083173,0,4.48,244.0,0.84,5330.0,138
Kepler-1593 b,0,0.010372488,1.0372487,0,2.91,260.0,0.715,4745.0,139
TRAPPIST-1 d,0,0.009940092,0.99400926,0,0.772,288.0,1.143,2559.0,140
Kepler-1996 c,0,0.009493355,0.94933546,0,2.15,267.0,1.21,4528.0,141
Kepler-1996 c,0,0.009493355,0.94933546,0,2.15,267.0,1.21,4528.0,142
Kepler-1996 c,0,0.009493355,0.94933546,0,2.15,267.0,1.21,4528.0,143
Kepler-1341 b,0,0.0094401995,0.94402,0,2.7,241.0,0.8,4530.0,144
Kepler-1341 b,0,0.0094401995,0.94402,0,2.7,241.0,0.8,4530.0,145
Kepler-1341 b,0,0.0094401995,0.94402,0,2.7,241.0,0.8,4530.0,146
Kepler-1552 b,0,0.009358007,0.93580073,0,2.41,268.0,1.21,5273.0,147
K2-18 b,0,0.009129234,0.91292334,0,2.53362939,260.44,1.0873,3464.0,148
Kepler-967 c,0,0.00888994,0.888994,0,3.56,258.0,1.05,5180.0,149
TOI-1227 b,0,0.008584677,0.8584677,0,6.45224486,243.77,0.8346,3050.0,150
TOI-1338 b,0,0.007766607,0.77666074,0,7.84988908,254.65,0.9938,5723.2,151
Kepler-1086 c,0,0.00773148,0.773148,0,2.88,211.0,0.47,4243.0,152
Kepler-395 c,0,0.007572796,0.75727963,0,1.14,292.0,1.71,3765.0,153
Kepler-967 c,0,0.007352909,0.7352909,0,2.86,236.0,0.73,5080.0,154
Kepler-967 c,0,0.007352909,0.7352909,0,2.86,236.0,0.73,5080.0,155
Kepler-967 c,0,0.007352909,0.7352909,0,2.86,236.0,0.73,5080.0,156
Kepler-1628 b,0,0.0073517812,0.7351781,0,7.24,241.0,0.79,3877.0,157
Kepler-1628 b,0,0.0073517812,0.7351781,0,7.24,241.0,0.79,3877.0,158
Kepler-1628 b,0,0.0073517812,0.7351781,0,6.28,240.0,0.78,3869.0,159
Kepler-1593 b,0,0.007300763,0.7300763,0,1.91,187.0,0.29,4366.0,160
Kepler-1593 b,0,0.007300763,0.7300763,0,1.91,187.0,0.29,4366.0,161
Kepler-1593 b,0,0.007300763,0.7300763,0,1.74,186.0,0.28,4367.0,162
Kepler-1593 b,0,0.007300763,0.7300763,0,1.91,187.0,0.29,4366.0,163
Kepler-1143 c,0,0.007208969,0.7208969,0,3.23,234.0,0.71,4895.0,164
Kepler-22 b,0,0.007190036,0.7190036,0,2.17,267.0,1.21,5642.0,165
Kepler-22 b,0,0.007190036,0.7190036,0,2.17,267.0,1.21,5642.0,166
Kepler-22 b,0,0.007190036,0.7190036,0,2.17,267.0,1.21,5642.0,167
Kepler-1690 b,0,0.006969116,0.69691163,0,2.56,267.0,1.2,5422.0,168
Kepler-705 b,0,0.006828238,0.6828238,0,2.76,265.0,0.729,3674.0,169
