pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,disc_year,pl_density,escape_velocity_factor,tidal_heating_indicator,flux_variation,st_type_category,pl_type_category,stellar_compatibility_index,habitability_score_index,hz_conservative,habitable_candidate,hz_optimistic,st_type_category_F,st_type_category_G,st_type_category_K,st_type_category_M,st_type_category_Other,pl_type_category_jupiter,pl_type_category_neptune,pl_type_category_rocky,pl_type_category_super_earth
Kepler-875 b,27.5073799,0.1771,2.28,5.4619256597318735,0.0,24.71,569.0,5783.0,0.88,0.977,-0.08,4.539,2016,0.46083053049149025,1.5477665940660958,0.0,0.0,G,super_earth,0.9700000000000001,0.3248333333333334,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-876 b,5.14438011,0.0563,1.45,3.954227100762263,0.0,131.97,864.0,5192.0,0.802,0.896,0.16,4.583,2016,1.297052638734598,1.65137917297618,0.0,0.0,K,rocky,0.9733333333333333,0.43599999999999994,0,0,0,False,False,True,False,False,False,False,True,False
Kepler-876 b,5.14438011,0.0563,1.45,3.954227100762263,0.0,131.97,864.0,5192.0,0.802,0.896,0.16,4.583,2016,1.297052638734598,1.65137917297618,0.0,0.0,K,rocky,0.9733333333333333,0.43599999999999994,0,0,0,False,False,True,False,False,False,False,True,False
Kepler-876 b,5.14438011,0.0563,1.45,3.954227100762263,0.0,131.97,864.0,5192.0,0.802,0.896,0.16,4.583,2016,1.297052638734598,1.65137917297618,0.0,0.0,K,rocky,0.9733333333333333,0.43599999999999994,0,0,0,False,False,True,False,False,False,False,True,False
Kepler-876 b,5.1443645,0.0549,1.55,2.4665123720604507,0.0,171.63,923.0,5157.0,0.904,0.83,0.18,4.445,2016,0.6623510112612401,1.2614667274863534,0.0,0.0,K,super_earth,0.9700000000000001,0.4221666666666667,0,0,0,False,False,True,False,False,False,False,False,True
Kepler-877 b,18.45847097,0.1303,2.3,5.5610825538851305,0.0,33.86,615.0,5413.0,0.865,0.865,-0.02,4.501,2016,0.4570627561342263,1.5549475810939921,0.0,0.0,G,super_earth,0.98,0.32366666666666666,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-877 b,18.45847097,0.1303,2.3,5.5610825538851305,0.0,33.86,615.0,5413.0,0.865,0.865,-0.02,4.501,2016,0.4570627561342263,1.5549475810939921,0.0,0.0,G,super_earth,0.98,0.32366666666666666,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-877 b,18.45847097,0.1303,2.3,5.5610825538851305,0.0,33.86,615.0,5413.0,0.865,0.865,-0.02,4.501,2016,0.4570627561342263,1.5549475810939921,0.0,0.0,G,super_earth,0.98,0.32366666666666666,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-877 b,18.45848388,0.1301,2.5,6.603229897010366,0.0,37.81,632.0,5311.0,0.948,0.859,0.14,4.419,2016,0.42260671340866346,1.6252052051369226,0.0,0.0,G,neptune,0.96,0.294,0,0,0,False,True,False,False,False,False,True,False,False
Kepler-878 b,25.9422033,0.154,1.87,3.6307279580712275,0.0,15.07,502.0,5121.0,0.762,0.723,-0.26,4.533,2016,0.5552248428548903,1.3934007869164085,0.0,0.0,K,super_earth,0.9566666666666667,0.37749999999999995,0,0,0,False,False,True,False,False,False,False,False,True
Kepler-878 b,25.9422033,0.154,1.87,3.6307279580712275,0.0,15.07,502.0,5121.0,0.762,0.723,-0.26,4.533,2016,0.5552248428548903,1.3934007869164085,0.0,0.0,K,super_earth,0.9566666666666667,0.37749999999999995,0,0,0,False,False,True,False,False,False,False,False,True
Kepler-878 b,25.9422033,0.154,1.87,3.6307279580712275,0.0,15.07,502.0,5121.0,0.762,0.723,-0.26,4.533,2016,0.5552248428548903,1.3934007869164085,0.0,0.0,K,super_earth,0.9566666666666667,0.37749999999999995,0,0,0,False,False,True,False,False,False,False,False,True
Kepler-878 b,25.9421582,0.165,1.95,3.9579590757798067,0.0,14.85,501.0,5167.0,0.796,0.891,0.16,4.585,2016,0.5337863518643008,1.4246833342760783,0.0,0.0,K,super_earth,0.9733333333333333,0.3693333333333333,0,0,0,False,False,True,False,False,False,False,False,True
Kepler-879 b,33.3855938,0.2012,2.54,6.822718550842242,0.0,26.73,580.0,5833.0,1.022,0.974,-0.04,4.407,2016,0.41634783087697963,1.638935528227368,0.0,0.0,G,neptune,0.9766666666666666,0.2965,0,0,0,False,True,False,False,False,False,True,False,False
Kepler-879 b,33.3855938,0.2012,2.54,6.822718550842242,0.0,26.73,580.0,5833.0,1.022,0.974,-0.04,4.407,2016,0.41634783087697963,1.638935528227368,0.0,0.0,G,neptune,0.9766666666666666,0.2965,0,0,0,False,True,False,False,False,False,True,False,False
Kepler-879 b,33.3855938,0.2012,2.54,6.822718550842242,0.0,26.73,580.0,5833.0,1.022,0.974,-0.04,4.407,2016,0.41634783087697963,1.638935528227368,0.0,0.0,G,neptune,0.9766666666666666,0.2965,0,0,0,False,True,False,False,False,False,True,False,False
Kepler-879 b,33.3856176,0.2012,2.48,6.494869996353791,0.0,26.73,580.0,5833.0,1.022,0.974,-0.04,4.407,2016,0.4258095720730589,1.6183013291961859,0.0,0.0,G,super_earth,0.9766666666666666,0.29916666666666664,0,0,0,False,True,False,False,False,False,False,False,True
Kepler-880 b,7.71468975,0.0854,2.15,4.8397533312281515,0.0,588.3,1256.0,6915.0,1.448,1.394,0.02,4.261,2016,0.48697632472392643,1.5003493130055914,0.0,0.0,F,super_earth,0.8966666666666666,0.33116666666666666,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-880 b,7.71468975,0.0854,2.15,4.8397533312281515,0.0,588.3,1256.0,6915.0,1.448,1.394,0.02,4.261,2016,0.48697632472392643,1.5003493130055914,0.0,0.0,F,super_earth,0.8966666666666666,0.33116666666666666,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-880 b,7.71467686,0.0915,4.65,101.1031464365067,0.0,1636.72,1622.0,6900.0,2.599,1.714,0.0,3.843,2016,1.0055549606605692,4.662897397207359,0.0,0.0,F,neptune,0.7333333333333334,0.26,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-880 b,7.71468975,0.0854,2.15,4.8397533312281515,0.0,588.3,1256.0,6915.0,1.448,1.394,0.02,4.261,2016,0.48697632472392643,1.5003493130055914,0.0,0.0,F,super_earth,0.8966666666666666,0.33116666666666666,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-880 c,11.8061737,0.1216,2.87,8.774789507626535,0.0,926.72,1407.0,6900.0,2.599,1.714,0.0,3.843,2023,0.3711855123782248,1.7485473819454251,0.0,0.0,F,neptune,0.7333333333333334,0.26,0,0,0,True,False,False,False,False,False,True,False,False
Kepler-880 c,11.80619472,0.1134,1.53,2.4013991218525303,0.0,333.65,1090.0,6915.0,1.448,1.394,0.02,4.261,2023,0.6704865264246811,1.252813597350993,0.0,0.0,F,super_earth,0.8966666666666666,0.4138333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-880 c,11.80619472,0.1134,1.53,2.4013991218525303,0.0,333.65,1090.0,6915.0,1.448,1.394,0.02,4.261,2023,0.6704865264246811,1.252813597350993,0.0,0.0,F,super_earth,0.8966666666666666,0.4138333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-881 b,4.44448017,0.0546,1.65,2.8055429718663434,0.0,476.42,1191.0,6210.0,1.033,1.093,-0.1,4.45,2016,0.6245469509121728,1.3039666689982494,0.0,0.0,F,super_earth,0.8833333333333333,0.39583333333333326,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-881 b,4.4444826,0.0552,1.71,3.0197569356391916,0.0,518.45,1217.0,6240.0,1.079,1.135,-0.02,4.426,2016,0.603925901454797,1.3288866499607752,0.0,0.0,F,super_earth,0.8966666666666666,0.38983333333333325,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-881 b,4.44448017,0.0546,1.65,2.8055429718663434,0.0,476.42,1191.0,6210.0,1.033,1.093,-0.1,4.45,2016,0.6245469509121728,1.3039666689982494,0.0,0.0,F,super_earth,0.8833333333333333,0.39583333333333326,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-881 b,4.44448017,0.0546,1.65,2.8055429718663434,0.0,476.42,1191.0,6210.0,1.033,1.093,-0.1,4.45,2016,0.6245469509121728,1.3039666689982494,0.0,0.0,F,super_earth,0.8833333333333333,0.39583333333333326,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-882 b,3.989539666,0.0451,0.96,0.8598121191340817,0.0,155.46,901.0,5208.0,0.693,0.771,-0.38,4.641,2016,0.9718290192035611,0.9463813312285919,0.0,0.0,G,rocky,0.9199999999999999,0.4826666666666667,0,0,0,False,True,False,False,False,False,False,True,False
Kepler-882 b,3.989544192,0.0449,0.93,0.764516582279732,0.0,157.1,903.0,5229.0,0.688,0.765,-0.42,4.643,2016,0.9504692347797457,0.9066757089285022,0.0,0.0,G,rocky,0.9133333333333334,0.4776666666666667,0,0,0,False,True,False,False,False,False,False,True,False
Kepler-882 b,3.989539666,0.0451,0.96,0.8598121191340817,0.0,155.46,901.0,5208.0,0.693,0.771,-0.38,4.641,2016,0.9718290192035611,0.9463813312285919,0.0,0.0,G,rocky,0.9199999999999999,0.4826666666666667,0,0,0,False,True,False,False,False,False,False,True,False
Kepler-882 b,3.989539666,0.0451,0.96,0.8598121191340817,0.0,155.46,901.0,5208.0,0.693,0.771,-0.38,4.641,2016,0.9718290192035611,0.9463813312285919,0.0,0.0,G,rocky,0.9199999999999999,0.4826666666666667,0,0,0,False,True,False,False,False,False,False,True,False
Kepler-883 b,12.98495573,0.102,1.53,2.4013991218525303,0.0,114.39,834.0,6212.0,0.945,0.838,-0.82,4.411,2016,0.6704865264246811,1.252813597350993,0.0,0.0,F,super_earth,0.7633333333333333,0.3938333333333333,0,0,0,True,False,False,False,False,False,False,False,True
Kepler-883 b,12.98494603,0.1055,1.64,2.77062868954735,0.0,105.74,818.0,5948.0,1.025,0.93,-0.26,4.384,2016,0.6281260178200746,1.2997721867807728,0.0,0.0,G,super_earth,0.94,0.40566666666666673,0,0,0,False,True,False,False,False,False,False,False,True
