Planet_Name,Prediction,Habitability_Probability
Kepler-767 b,1,0.9965827
Kepler-310 d,1,0.9963815
Kepler-310 d,1,0.9963815
Kepler-310 d,1,0.9963815
Kepler-283 c,1,0.99601716
Kepler-152 c,1,0.99601716
Kepler-283 c,1,0.99601716
Kepler-283 c,1,0.99601716
Kepler-1490 b,1,0.99601716
Kepler-1237 b,1,0.9957249
Kepler-1237 b,1,0.9957249
Kepler-1237 b,1,0.9957249
Kepler-62 e,1,0.9956846
Kepler-62 e,1,0.9956846
Kepler-1552 b,1,0.9956846
Kepler-1552 b,1,0.9956846
Kepler-1552 b,1,0.9956846
Kepler-62 e,1,0.9956846
Kepler-1016 c,1,0.9956275
Kepler-1016 c,1,0.9956275
Kepler-1016 c,1,0.9956275
Kepler-1126 c,1,0.9955622
Kepler-1126 b,1,0.9955622
Kepler-1126 b,1,0.9955622
Kepler-1126 c,1,0.9955622
Kepler-1126 c,1,0.9955622
Kepler-1126 b,1,0.9955622
Kepler-1535 b,1,0.9955622
Kepler-1535 b,1,0.9955622
Kepler-1535 b,1,0.9955622
Kepler-169 f,1,0.9953881
Kepler-152 c,1,0.9953881
Kepler-538 b,1,0.99530053
Kepler-1490 b,1,0.9950847
Kepler-1490 b,1,0.9950847
Kepler-152 c,1,0.9950847
Kepler-1490 b,1,0.9950847
Kepler-152 c,1,0.9950847
Kepler-152 c,1,0.9950847
Kepler-1544 b,1,0.9950033
Kepler-1544 b,1,0.9950033
Kepler-1840 b,1,0.9950033
Kepler-1544 b,1,0.9950033
Kepler-266 c,1,0.99493706
Kepler-266 c,1,0.99493706
Kepler-987 b,1,0.99493706
Kepler-266 c,1,0.99493706
Kepler-987 b,1,0.99493706
Kepler-987 b,1,0.99493706
Kepler-1237 b,1,0.9947246
Kepler-230 c,1,0.9940718
Kepler-722 c,1,0.99214983
Kepler-1503 b,1,0.9921334
Kepler-1389 b,1,0.9921334
Kepler-1389 b,1,0.9921334
Kepler-1020 b,1,0.9921334
Kepler-1816 b,1,0.9921334
Kepler-1020 b,1,0.9921334
Kepler-1020 b,1,0.9921334
Kepler-1389 b,1,0.9921334
Kepler-1503 b,1,0.9921334
Kepler-1389 b,1,0.9921334
Kepler-1503 b,1,0.9921334
Kepler-1503 b,1,0.9921334
Kepler-1816 b,1,0.9921334
Kepler-1816 b,1,0.9921334
Kepler-1816 b,1,0.9921334
K2-99 c,1,0.9918984
Kepler-315 b,1,0.99101347
Kepler-315 b,1,0.99101347
Kepler-315 b,1,0.99101347
Kepler-1858 b,1,0.9908964
Kepler-1816 b,1,0.9908964
Kepler-1858 b,1,0.9908964
Kepler-1858 b,1,0.9908964
Kepler-1858 b,1,0.9908964
Kepler-1858 b,1,0.9908964
Kepler-953 b,1,0.99080044
Kepler-953 b,1,0.99080044
Kepler-953 b,1,0.99080044
Kepler-953 b,1,0.99080044
Kepler-178 d,1,0.99080044
Kepler-310 d,1,0.9907464
Kepler-539 b,1,0.9906901
Kepler-1638 b,1,0.99018717
Kepler-966 b,1,0.9874094
Kepler-966 b,1,0.9874094
Kepler-966 b,1,0.9874094
Kepler-966 b,1,0.9874094
Kepler-298 d,1,0.9835903
Kepler-298 d,1,0.9835903
Kepler-298 d,1,0.9835903
Kepler-1996 c,1,0.98103553
Kepler-1227 b,1,0.97971934
Kepler-616 c,1,0.9792108
Kepler-298 d,1,0.9766781
Kepler-1411 b,1,0.9733246
Kepler-230 c,1,0.96797836
Kepler-230 c,1,0.96797836
Kepler-230 c,1,0.96797836
Kepler-230 c,1,0.96797836
Kepler-1177 b,1,0.965813
Kepler-1177 b,1,0.965813
Kepler-1177 b,1,0.965813
Kepler-1237 b,1,0.96308434
Kepler-437 b,1,0.96308434
Kepler-1177 b,1,0.958835
Kepler-1771 b,1,0.9500929
Kepler-1316 b,1,0.94563425
Kepler-1771 b,0,0.15537222
Kepler-1771 b,0,0.15537222
Kepler-1771 b,0,0.15537222
HD 191939 g,0,0.007399087
TOI-1386 c,0,0.006316172
Kepler-69 c,0,0.0050804685
TOI-1736 c,0,0.004713034
Kepler-1606 b,0,0.0037897704
CoRoT-9 b,0,0.0036097087
Kepler-553 c,0,0.0034766921
Kepler-169 f,0,0.002866056
Kepler-169 f,0,0.002866056
Kepler-169 f,0,0.002866056
GJ 3021 b,0,0.002816423
TOI-2295 c,0,0.0027828137
HD 42618 b,0,0.0027828137
Kepler-22 b,0,0.0025908772
Kepler-1654 b,0,0.0025334272
Kepler-598 c,0,0.0023962932
Kepler-1661 b,0,0.0022716378
Kepler-598 c,0,0.0022278714
Kepler-598 c,0,0.0022278714
Kepler-598 c,0,0.0022278714
Kepler-598 c,0,0.0022278714
Kepler-712 c,0,0.0021703886
Kepler-712 c,0,0.0021703886
Kepler-712 c,0,0.0021703886
NGTS-30 b,0,0.0020007296
PDS 70 b,0,0.0018813208
HD 191939 f,0,0.0018301272
HD 118203 c,0,0.0016601029
Kepler-540 b,0,0.001619114
HATS-59 c,0,0.0015798678
HD 164922 b,0,0.0015798678
HD 192310 c,0,0.0015798678
HD 206893 c,0,0.0015273235
HD 206893 b,0,0.0015273235
Kepler-111 c,0,0.0015234642
Kepler-178 d,0,0.0014488795
Kepler-178 d,0,0.0014488795
Kepler-178 d,0,0.0014488795
Kepler-315 b,0,0.0014315663
Kepler-553 c,0,0.0013965326
Kepler-553 c,0,0.0013965326
Kepler-452 b,0,0.0013957256
