pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_dens,st_teff,st_rad,st_mass,st_lum,pl_rade_original,pl_bmasse_original,pl_orbper_original,pl_eqt_original,pl_dens_original,st_teff_original,st_rad_original,st_mass_original,st_lum_original,habitable
Kepler-62 f,-0.0515316702789875,-0.1227152091663114,-0.0053096737861792,-2.1775352475910696,-0.0198281281290884,-0.5717068274339855,-0.2772417861699124,-0.7315895911337481,0.0471078624014497,1.43,188.15536,267.282521,207.0,1.325,4926.0,0.662,0.727,-0.08612,1
Kepler-62 f,-0.0517008689096238,-0.1227152091663114,-0.0053096733983109,-2.1844731760334155,-0.0198281281290884,-0.7072949172785713,-0.2825316670974637,-1.0332288736143245,0.0471078624014497,1.42,188.15536,267.283301,205.0,1.325,4797.0,0.653,0.637,-0.08612,1
Kepler-440 b,-0.0508548757564425,-0.1227152091663114,-0.0053923051498362,-2.1983490329181072,-0.0198281281290884,-1.741548253767505,-0.385978227458466,-1.5426641062481865,0.0471078624014497,1.47,188.15536,101.1114976,201.0,1.325,3813.0,0.477,0.485,-0.08612,1
Kepler-440 b,-0.0508548757564425,-0.1227152091663114,-0.0053923051498362,-2.1983490329181072,-0.0198281281290884,-1.741548253767505,-0.385978227458466,-1.5426641062481865,0.0471078624014497,1.47,188.15536,101.1114976,201.0,1.325,3813.0,0.477,0.485,-0.08612,1
Kepler-440 b,-0.0508548757564425,-0.1227152091663114,-0.0053923051498362,-2.1983490329181072,-0.0198281281290884,-1.741548253767505,-0.385978227458466,-1.5426641062481865,0.0471078624014497,1.47,188.15536,101.1114976,201.0,1.325,3813.0,0.477,0.485,-0.08612,1
Kepler-442 b,-0.0493320880807162,-0.1227152091663114,-0.0053867380761819,-1.9936801438689065,-0.0198281281290884,-0.9469389830503974,-0.2825316670974637,-1.0198226832818542,0.0471078624014497,1.56,188.15536,112.306839,260.0,1.325,4569.0,0.653,0.641,-0.08612,1
Kepler-442 b,-0.0537312524772589,-0.1227152091663114,-0.0053867399175615,-2.0595904640711917,-0.0198281281290884,-1.1235188209875324,-0.316622010852794,-1.113666015609145,0.0471078624014497,1.3,188.15536,112.303136,241.0,1.325,4401.0,0.595,0.613,-0.08612,1
Kepler-442 b,-0.0493320880807162,-0.1227152091663114,-0.0053867380761819,-1.9936801438689065,-0.0198281281290884,-0.9469389830503974,-0.2825316670974637,-1.0198226832818542,0.0471078624014497,1.56,188.15536,112.306839,260.0,1.325,4569.0,0.653,0.641,-0.08612,1
Kepler-442 b,-0.0493320880807162,-0.1227152091663114,-0.0053867380761819,-1.9936801438689065,-0.0198281281290884,-0.9469389830503974,-0.2825316670974637,-1.0198226832818542,0.0471078624014497,1.56,188.15536,112.306839,260.0,1.325,4569.0,0.653,0.641,-0.08612,1
Kepler-437 b,-0.0525468620628051,-0.1227152091663114,-0.0054094414422148,-1.875735360349028,-0.0198281281290884,-1.096190988925833,-0.3007523680701402,-1.1069629204429097,0.0471078624014497,1.37,188.15536,66.6505482,294.0,1.325,4427.0,0.622,0.615,-0.08612,1
Kepler-437 b,-0.0493320880807162,-0.1227152091663114,-0.0054094414900022,-1.8271698612526075,-0.0198281281290884,-0.9669093218647162,-0.2672497888623156,-0.7785112572973933,0.0471078624014497,1.56,188.15536,66.6504521,308.0,1.325,4550.0,0.679,0.713,-0.08612,1
