pl_rade,pl_masse,pl_orbper,pl_orbsmax,pl_eqt,pl_dens,st_teff,st_lum,st_met,st_spectype
,,6.7392,0.0381,340.0,,3195.0,-2.44977,-0.56,M3.5-4 V
,,2.2907,0.0185,464.0,,3130.0,-2.53254,0.13,M5.0 V
17.37392009,9375.9380065,,67.0,,,3689.0,,-0.16,M1 V
,9852.680617,,67.0,1800.0,,3680.0,,0.04,M1 Ve
,3337.1,10037.5,2.6,370.0,,580.5,,,
20.8487041,2479.0615746,8040000.0,200.0,1800.0,,2320.0,-2.85,,M9-L1
,3994.486,,210.0,,,,,,M3.5
,,25.2,0.17,,,,,,
12.44196858,2542.627256,,,,,3406.0,-1.732,0.0,M3 V
12.44196858,2002.3189641,402000000.0,7506.0,434.0,,3406.0,-1.732,0.0,M3 V
24.66,5403.0,,440.0,2600.0,,,,,
16.7,327.35,1.5089557,,1898.0,0.38,5950.0,,-0.3,G0 V
19.223435,390.9309,1.5089682,0.02752,,0.302,6298.0,,0.06,
17.385159,327.3649,1.5089686,0.02536,1915.0,0.344,5950.0,,-0.3,
,,1.508968772,,,,,,,
15.91678,340.0781,1.508976552,0.0259,1834.0,0.44,5950.0,,-0.3,
20.5944,,1.5089635,,2036.0,,5950.0,,,
16.58932,359.1479,1.5089557,0.0261,,,5950.0,,,
10.547669,883.5674,13.2406,0.106,647.0,4.16,5075.0,,0.26,
10.87273,867.6759,13.2406,0.1055,,3.69,5075.0,,0.26,
7.38532555,,13.23412611048,,510.96,,5025.0,,,
10.87,874.0,13.2406,0.1055,600.0,3.7,5075.0,,0.26,K1 V
15.984034,743.7222,2.99433,0.044,1735.0,1.0,6440.0,,-0.03,
16.02887,832.7146,2.994325,0.04407,,1.11,6440.0,,-0.03,
15.58051,791.3967,2.994325,0.04351,1715.0,0.93,,,,
16.03,740.51,2.99433,0.0436,1657.0,0.99,6440.0,,-0.03,F6 V
,,2.99427803,,,,6440.0,,-0.03,F6 V
21.74555811,,2.99328197444,,1681.79,,6343.0,,,
,,,,,,6343.0,,0.04,
,,2.828041,,,,5675.0,,0.16,
17.76037065,,2.82803914989,,1293.28,,5675.0,,,
15.13215,281.91521,2.828042,0.0394,1410.0,0.448,5675.0,,0.16,
16.14,291.438,2.828042,0.04016,1442.0,0.411,5675.0,,0.16,
15.064896,277.46559,2.82805268,0.0392,1417.0,0.447,,0.07,,
16.14096,290.81445,2.828042,0.04013,,0.381,5675.0,,0.16,
14.033668,416.99296,4.03519,0.051,1432.0,0.82,5945.0,,0.01,
9.919965,423.03173,4.03519,0.05107,,2.38,5945.0,,0.01,
,,4.03515,,,,5945.0,,0.01,G0 V
12.53306062,,4.03504443843,,1233.17,,5945.0,,,
9.92,415.704,4.03519,0.051,1700.0,2.34,5945.0,,0.01,G0 V
