planet_radius_earth,planet_mass_earth,orbital_period_days,semi_major_axis_AU,equilibrium_temp_K,planet_density,star_temp_K,star_luminosity,star_metallicity,star_type
2.3,154.306465,116.688,0.481,797.0,1.33,5495.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,116.689,0.456,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,116.6884,0.48,797.0,1.33,5531.0,-0.0828599999999999,-0.06,G0 V
2.3,154.306465,691.9,2.1,797.0,1.33,4846.0,1.73,0.0,G3 III
2.3,154.306465,696.62,1.912,797.0,1.33,4809.0,1.7145,0.1,G3 III
2.3,154.306465,2051.62,3.929,797.0,1.33,4809.0,1.7145,0.1,G3 III
2.3,154.306465,93.31,0.462,797.0,1.33,4847.0,1.72346,-0.03,G0 V
2.3,154.306465,93.4,0.49,797.0,1.33,4847.4,-0.0828599999999999,-0.03,K0
2.3,154.306465,93.4,0.49,797.0,1.33,4847.0,-0.0828599999999999,-0.03,G0 V
2.3,154.306465,10.3392924,2.17,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,1005.57,2.104,797.0,1.33,4734.0,1.76027,-0.11,G5 III
2.3,154.306465,952.7,2.5,797.0,1.33,4785.0,1.778,-0.06,G5 III
2.3,154.306465,181.4,0.7,797.0,1.33,4665.0,-0.0828599999999999,-0.03,K0 III
2.3,154.306465,8.46321,0.10086,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.79,154.306465,18.858982,0.11,797.0,1.33,5613.0,-0.0828599999999999,-0.0039,G0 V
2.3,154.306465,481.9,1.3,797.0,1.33,4095.0,2.7,-0.71,G0 V
2.3,154.306465,268.94,0.78,797.0,1.33,4864.0,-0.0828599999999999,0.17,G0 V
2.3,154.306465,268.94,0.777,797.0,1.33,5008.0,-0.32,0.1,K2 V
2.3,154.306465,153.22,0.576,797.0,1.33,4649.0,1.57,-0.22,G0 V
2.3,154.306465,137.48,0.539,797.0,1.33,4796.0,2.01,0.28,K0
2.3,154.306465,379.63,1.45,797.0,1.33,4137.0,3.17,-1.0,K2 II
2.3,154.306465,379.63,1.05,797.0,1.33,4259.0,-0.0828599999999999,-0.79,G0 V
2.3,154.306465,621.99,2.01,797.0,1.33,4137.0,3.17,-1.0,K2 II
2.3,154.306465,578.2,1.3,797.0,1.33,4296.0,1.96,-0.46,K5 III
2.35545351,154.306465,41.688644,0.10086,797.0,1.33,5703.0,-0.0828599999999999,-0.06,G0 V
2.3,154.306465,1887.76,4.65,797.0,1.33,4500.0,2.84,-0.03,G0 V
2.3,154.306465,123.05,0.54,797.0,1.33,4500.0,1.99,-0.2,G0 V
2.3,154.306465,307.88,0.83,797.0,1.33,5004.0,-0.0828599999999999,-0.09,K1
2.3,154.306465,392.6,1.0,797.0,1.33,4414.0,1.69,-0.2,K0 III
2.3,154.306465,733.0,1.7,797.0,1.33,4534.0,1.64,-0.13,G0 V
2.3,154.306465,2590.0,4.2,797.0,1.33,4943.0,1.47,-0.19,K0
2.3,154.306465,265.59,0.78,797.0,1.33,5012.0,-0.0828599999999999,0.18,K3
2.3,154.306465,1198.48,2.06,797.0,1.33,5000.0,-0.0828599999999999,-0.09,K0
2.3,154.306465,3.8728,0.0428,797.0,1.33,4324.0,-1.022,-0.14,K7/M0 V
2.3,154.306465,125.94,0.435,797.0,1.33,4324.0,-1.022,-0.14,K7/M0 V
2.3,154.306465,5.6,0.056,797.0,1.33,4746.0,-0.0828599999999999,-0.07,K3 V
2.3,154.306465,5.6,0.06,797.0,1.33,4816.0,-0.0828599999999999,-0.06,G0 V
2.3,154.306465,237.6,0.68,797.0,1.33,4746.0,-0.0828599999999999,-0.07,K3 V
2.3,154.306465,3.48777,0.0452,797.0,1.33,5393.0,-0.0828599999999999,0.382,G0 V
2.3,154.306465,3.48777,0.04,797.0,1.33,5393.0,-0.0828599999999999,0.38,G0 V
2.3,154.306465,3.487905,0.045,797.0,1.33,5382.64,-0.0828599999999999,0.37,G0 V
2.3,154.306465,3.487,0.046,797.0,1.33,5400.0,-0.0828599999999999,0.5,K0 V
2.3,154.306465,1634.0,2.36,797.0,1.33,4550.0,-0.8041,-0.35,G0 V
