habitability_score,predicted_class,actual_class
0.00013853276434619595,0,0
0.00013652720331266383,0,0
0.00013510326766159146,0,0
0.00013268039805586245,0,0
0.00012854231592896083,0,0
0.00012719409746151142,0,0
0.00012525150693362891,0,0
0.00012281239601882372,0,0
0.00012180495445603068,0,0
0.00012104440731521247,0,0
0.00012014457939541239,0,0
0.00012014408191679279,0,0
0.00011861478089191957,0,0
0.00011785526591484742,0,0
0.0001175032214482998,0,0
0.00011610428242016916,0,0
0.00011584924801136105,0,0
0.00011538795871937117,0,0
0.00011266649694710338,0,0
0.00011250279140733523,0,0
0.00011162852501285266,0,0
0.00010914223583618177,0,0
0.00010846256089102666,0,0
0.00010843927942330713,0,0
0.00010712408941873472,0,0
0.0001056900027609918,0,0
0.00010391656642435933,0,0
0.00010377835798843543,0,0
0.0001031350647849282,0,0
0.00010268254525569211,0,0
9.934340824647799e-05,0,0
9.884396085615003e-05,0,0
9.847175502008141e-05,0,0
9.611894164246065e-05,0,0
9.599602283142156e-05,0,0
9.586920475125833e-05,0,0
9.445096608921849e-05,0,0
9.171070509923867e-05,0,0
9.079291016498432e-05,0,0
9.010546369610471e-05,0,0
9.001720636230862e-05,0,0
8.821816546300272e-05,0,0
8.799274977155769e-05,0,0
8.436850563921964e-05,0,0
8.358981163554194e-05,0,0
8.310156481412509e-05,0,0
8.249040182989285e-05,0,0
8.204673177948744e-05,0,0
8.172668355284842e-05,0,0
8.078163683248013e-05,0,0
7.992954605985535e-05,0,0
7.955304802103492e-05,0,0
7.903642206554024e-05,0,0
7.886067523817818e-05,0,0
7.880567353645331e-05,0,0
7.627777220499972e-05,0,0
7.613267060184048e-05,0,0
7.595697267137433e-05,0,0
7.493912005507011e-05,0,0
7.301538576686786e-05,0,0
7.238493352987552e-05,0,0
7.233379806457867e-05,0,0
7.174446075254373e-05,0,0
7.151403606335378e-05,0,0
7.124177265760362e-05,0,0
7.047333553029683e-05,0,0
7.046273623878649e-05,0,0
6.99687687170918e-05,0,0
6.92067726378915e-05,0,0
6.677417646917239e-05,0,0
6.601851936504869e-05,0,0
6.576204480149911e-05,0,0
6.539265833605577e-05,0,0
6.482238662881982e-05,0,0
6.366513437794732e-05,0,0
6.329522004796762e-05,0,0
6.325322853114201e-05,0,0
6.276403845823158e-05,0,0
6.249861765516312e-05,0,0
6.179845047258546e-05,0,0
6.157036855340318e-05,0,0
6.075526911683414e-05,0,0
5.9875521670174294e-05,0,0
5.987380828797244e-05,0,0
5.8080273350781036e-05,0,0
5.807755495474261e-05,0,0
5.709746292247417e-05,0,0
5.6973211148656886e-05,0,0
5.684780516411748e-05,0,0
5.6429641891024896e-05,0,0
5.632400389744904e-05,0,0
5.4988251287697095e-05,0,0
5.413728271197499e-05,0,0
5.391254093994638e-05,0,0
5.390907101842157e-05,0,0
5.3839554955790635e-05,0,0
5.376177931987679e-05,0,0
5.327381622113755e-05,0,0
5.2664545703891515e-05,0,0
5.26633462949008e-05,0,0
5.191253982331133e-05,0,0
5.170956590803609e-05,0,0
5.128403977268542e-05,0,0
5.1256154085727744e-05,0,0
5.090625228849767e-05,0,0
4.975370903173765e-05,0,0
4.974421728826035e-05,0,0
4.788601191047605e-05,0,0
4.7866217134670824e-05,0,0
4.764424361136288e-05,0,0
4.680116453546477e-05,0,0
4.66684152396898e-05,0,0
4.647190951042875e-05,0,0
4.6139256673982524e-05,0,0
4.60016032797587e-05,0,0
4.5518105031224495e-05,0,0
4.534152242495425e-05,0,0
4.4779599667196954e-05,0,0
4.465977198431148e-05,0,0
4.406130861034803e-05,0,0
4.3427522522705865e-05,0,0
4.305606556362733e-05,0,0
4.29127805249449e-05,0,0
4.261342223966515e-05,0,0
4.199669956883175e-05,0,0
4.172609096670046e-05,0,0
4.139460620093122e-05,0,0
4.089931429342689e-05,0,0
4.008239815414877e-05,0,0
3.9875777087386416e-05,0,0
3.916634047000334e-05,0,0
3.863442785770931e-05,0,0
3.747370645367747e-05,0,0
3.74276777613045e-05,0,0
3.721126362227959e-05,0,0
3.720265051504403e-05,0,0
3.712826704231081e-05,0,0
3.666756772229417e-05,0,0
3.6399066420767244e-05,0,0
3.631388227292309e-05,0,0
3.5605146615209294e-05,0,0
3.52750622131562e-05,0,0
3.4779588532629214e-05,0,0
3.472513974549467e-05,0,0
3.4627511903997455e-05,0,0
3.462067046155239e-05,0,0
3.444978643074561e-05,0,0
3.4350133576196065e-05,0,0
3.407611146906033e-05,0,0
3.3366454380819244e-05,0,0
3.2633403220885986e-05,0,0
3.232280890330796e-05,0,0
3.213625327238671e-05,0,0
3.198013516537071e-05,0,0
3.1437786988598215e-05,0,0
3.1398892833196596e-05,0,0
3.118112510830786e-05,0,0
3.1148370764498436e-05,0,0
3.1027775272397115e-05,0,0
3.1004355841524456e-05,0,0
3.0751429842986364e-05,0,0
3.068096781480153e-05,0,0
3.0540037907607726e-05,0,0
3.053634465121774e-05,0,0
3.039189135175058e-05,0,0
2.9881992095687853e-05,0,0
2.9758019405136927e-05,0,0
2.9045882332103533e-05,0,0
2.9030118658650734e-05,0,0
2.898211587615222e-05,0,0
2.864655146003494e-05,0,0
2.8439908188381124e-05,0,0
2.8148318909328692e-05,0,0
2.8017115265502526e-05,0,0
2.792044434378599e-05,0,0
2.7517850678628418e-05,0,0
2.7275631906582265e-05,0,0
2.705524708836636e-05,0,0
2.6948084126498238e-05,0,0
2.692155564781328e-05,0,0
2.678747948596435e-05,0,0
2.6539958861029264e-05,0,0
2.629210389664041e-05,0,0
2.5989162811602024e-05,0,0
2.5516345961286814e-05,0,0
2.5286298513269694e-05,0,0
2.5283244006851747e-05,0,0
