Planet radius,Planet mass,Orbital period,Semi-major axis,Equilibrium temperature,Planet density,Host star temperature,Star luminosity,Star metallicity,Star type,habitability_score,orbital_stability
2.3,3464.3296363,9100.0,10.4,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,0.8673492519268552,875.0
2.3,191.96932,11688.0,12.0,797.0,1.33,7295.0,0.75157,-0.0039,G0 V,0.8545287391063424,974.0
2.3,191.96932,14965.0,14.0,797.0,1.33,7295.0,0.75157,-0.0039,G0 V,0.8426239772015804,1068.9285714285713
2.3,147.47238085,4.2307969,0.05235,797.0,1.33,5760.76,-0.08285999999999999,0.2058,G0 V,19.87339215839956,80.81751480420247
2.3,148.738,4.23077,0.052,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,20.00196463654224,81.36096153846154
2.3,150.009,4.230785,0.0527,797.0,1.33,5758.0,0.13631,0.18,G0 V,19.746527474084207,80.28055028462998
2.3,149.3801,4.2293,0.10086,797.0,1.33,5773.0,-0.08285999999999999,0.2,G0 V,10.685928699447409,41.93238151893714
2.3,146.2018,4.231,0.052,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,20.00196463654224,81.36538461538461
2.3,3.5,6.7994,0.044,797.0,1.33,3286.0,-0.08285999999999999,0.16,M4.5 V,23.49846813304574,154.5318181818182
2.3,5.3,33.747,0.13,797.0,1.33,3286.0,-0.08285999999999999,0.16,M4.5 V,8.4635030980807,259.59230769230766
2.3,289.21,14.647,0.115,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,9.466847579686052,127.36521739130434
2.3,266.966,14.465314,0.11339,797.0,1.33,5250.0,-0.19695,0.35,G0 V,9.590315257611795,127.5713378604815
2.3,266.9772,14.653,0.115,797.0,1.33,5613.0,-0.08285999999999999,0.27,G8 V,9.466847579686052,127.41739130434783
2.3,263.9785,14.65152,0.11522725,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,9.449698103702534,127.15325584876841
2.3,261.881,14.65162,0.115,797.0,1.33,5250.0,-0.19695,0.35,G0 V,9.466847579686052,127.40539130434782
2.3,254.25,14.651,0.1134,797.0,1.33,5250.0,-0.19695,0.35,G0 V,9.589537557448493,129.19753086419752
2.3,260.61,14.65126,0.1138,797.0,1.33,5250.0,-0.19695,0.35,G0 V,9.558541627214133,128.7456942003515
2.3,267.29369029,14.65171,0.1162,797.0,1.33,5317.89,-0.08285999999999999,0.3833,G0 V,9.377047385118964,126.09044750430293
2.3,255.4,14.6516,0.1134,797.0,1.33,5172.0,-0.08285999999999999,0.35,G0 V,9.589537557448493,129.20282186948853
2.3,254.25,14.6,0.113,700.0,1.33,5613.0,-0.08285999999999999,-0.0039,K0 IV-V,9.621215475820682,129.20353982300884
2.3,276.0,14.651552,0.118,797.0,1.33,5198.0,-0.08285999999999999,0.39,G8 V,9.24577167695945,124.16569491525425
2.3,266.9772,14.648,0.11,797.0,1.33,5200.0,-0.08285999999999999,0.23,G8 V,9.8621044966821,133.16363636363636
2.3,249.17872,14.67,0.115,797.0,1.33,5613.0,-0.08285999999999999,-0.0039,G0 V,9.466847579686052,127.56521739130434
2.3,53.711,44.3446,0.24,797.0,1.33,5250.0,-0.19695,0.35,G0 V,4.9378620724396765,184.76916666666668
2.3,56.6985,44.373,0.23735,797.0,1.33,5250.0,-0.19695,0.35,G0 V,4.9843826819474355,186.9517590056878
2.3,52.44,44.38,0.237,797.0,1.33,5250.0,-0.19695,0.35,G0 V,4.9906046884734305,187.25738396624476
2.3,56.6,44.3936,0.247,797.0,1.33,5198.0,-0.08285999999999999,0.39,G8 V,4.819778401724426,179.73117408906882
