pl_name,hostname,pl_rade,pl_orbper,pl_orbsmax,pl_eqt,st_teff,st_rad,st_mass,st_met,disc_year,discoverymethod,default_flag
55 Cnc d,55 Cnc,2.3,5360.0,5.9,797.0,5613.0,0.951815,0.95,0.27,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4517.4,5.257,797.0,5613.0,0.951815,0.95,-0.0039,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4909.0,5.47,797.0,5250.0,0.963515,0.9,0.35,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4867.0,5.446,797.0,5250.0,0.963515,0.9,0.35,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,5370.0,5.84,797.0,5250.0,0.963515,0.9,0.35,2002,Radial Velocity,0
55 Cnc d,55 Cnc,2.3,4799.0,5.6,797.0,5198.0,0.98,1.015,0.39,2002,Radial Velocity,1
55 Cnc e,55 Cnc,2.08,0.7365437,0.01544,1958.0,5234.0,0.943,0.905,0.31,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.7365515,0.015690907,797.0,5613.0,0.951815,0.95,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,1.92,10.3392924,0.01544,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,10.3392924,0.10086,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,1.897,0.737,0.10086,797.0,5172.0,0.954,0.873,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.0,0.73654,0.01583,797.0,5613.0,0.943,0.963,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.73654604,0.10086,797.0,5613.0,0.951815,0.959,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.7365445,0.01583,797.0,5317.89,0.964411,0.974708,0.3833,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.173,0.736546,0.01583,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.7365417,0.10086,797.0,5613.0,0.951815,0.959,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.736546,0.016,797.0,5198.0,0.98,1.015,0.39,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,0.7365478,0.015439,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,2.79674,0.0377,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.3,2.808,0.038,797.0,5613.0,0.951815,0.95,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,2.02311213,0.73654625026,0.10086,1831.27,5250.0,0.963515,0.959,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,1.91,0.736539,0.01544,797.0,5250.0,0.963515,0.9,0.35,2004,Radial Velocity,0
55 Cnc e,55 Cnc,1.947,0.7365474,0.10086,797.0,5613.0,0.98,1.015,-0.0039,2004,Radial Velocity,0
55 Cnc e,55 Cnc,1.875,0.7365474,0.01544,797.0,5172.0,0.943,0.905,0.35,2004,Radial Velocity,1
55 Cnc e,55 Cnc,2.3,0.73654625,0.10086,797.0,5234.0,0.943,0.905,0.31,2004,Radial Velocity,0
