rank,planet_name,star_system,habitability_probability,habitability_score,predicted_habitable,actual_label,discovery_year
12522,TOI-3364 b,TOI-3364,0.0008760423354187295,0.08760423354187295,0,0,2023
12523,WASP-171 b,WASP-171,0.000875954899339192,0.08759548993391919,0,0,2019
12524,Kepler-471 b,Kepler-471,0.0008758330341582212,0.08758330341582211,0,0,2016
12525,Kepler-718 b,Kepler-718,0.0008757372830690846,0.08757372830690846,0,0,2016
12526,Kepler-718 b,Kepler-718,0.0008757372830690846,0.08757372830690846,0,0,2016
12527,Kepler-718 b,Kepler-718,0.0008757372830690846,0.08757372830690846,0,0,2016
12528,HATS-45 b,HATS-45,0.0008755260273492108,0.08755260273492109,0,0,2018
12529,TOI-2497 b,TOI-2497,0.0008754703633307102,0.08754703633307102,0,0,2023
12530,WASP-60 b,WASP-60,0.0008752314583729956,0.08752314583729956,0,0,2012
12531,WASP-155 b,WASP-155,0.0008752003499617907,0.08752003499617907,0,0,2025
12532,WASP-194 b,WASP-194,0.0008750857078426713,0.08750857078426713,0,0,2025
12533,HAT-P-34 b,HAT-P-34,0.0008750743523828934,0.08750743523828934,0,0,2011
12534,TOI-3474 b,TOI-3474,0.0008749554300251379,0.08749554300251379,0,0,2025
12535,TOI-2421 b,TOI-2421,0.0008746208122561022,0.08746208122561022,0,0,2022
12536,WASP-101 b,WASP-101,0.0008746172522164869,0.08746172522164869,0,0,2014
12537,TOI-3688 A b,TOI-3688 A,0.0008743700910681593,0.08743700910681593,0,0,2023
12538,Kepler-43 b,Kepler-43,0.0008742205326862734,0.08742205326862734,0,0,2011
12539,Kepler-43 b,Kepler-43,0.0008742205326862734,0.08742205326862734,0,0,2011
12540,Kepler-43 b,Kepler-43,0.0008742205326862734,0.08742205326862734,0,0,2011
12541,Kepler-14 b,Kepler-14,0.0008736472139344226,0.08736472139344226,0,0,2011
12542,Kepler-14 b,Kepler-14,0.0008736472139344226,0.08736472139344226,0,0,2011
12543,Kepler-14 b,Kepler-14,0.0008736472139344226,0.08736472139344226,0,0,2011
12544,HATS-66 b,HATS-66,0.0008735664263428998,0.08735664263428998,0,0,2018
12545,TOI-4137 b,TOI-4137,0.0008735118264647622,0.08735118264647622,0,0,2022
12546,WASP-76 b,WASP-76,0.0008734688215052477,0.08734688215052477,0,0,2016
12547,WASP-76 b,WASP-76,0.0008733849323056157,0.08733849323056157,0,0,2016
12548,TOI-4794 b,TOI-4794,0.0008733076973940317,0.08733076973940317,0,0,2025
12549,CoRoT-12 b,CoRoT-12,0.0008732980391140491,0.08732980391140491,0,0,2010
12550,TOI-481 b,TOI-481,0.000873061221573064,0.0873061221573064,0,0,2020
12551,TOI-558 b,TOI-558,0.000872940231298759,0.0872940231298759,0,0,2021
12552,Kepler-43 b,Kepler-43,0.0008727272800322856,0.08727272800322855,0,0,2011
12553,TOI-3160 A b,TOI-3160 A,0.0008726924009077409,0.0872692400907741,0,0,2025
12554,HATS-24 b,HATS-24,0.0008724895397367229,0.0872489539736723,0,0,2017
12555,TOI-5592 b,TOI-5592,0.0008722170494261852,0.08722170494261852,0,0,2025
12556,TOI-6130 b,TOI-6130,0.0008721382279967091,0.08721382279967091,0,0,2024
12557,WASP-15 b,WASP-15,0.000871988149267551,0.0871988149267551,0,0,2009
12558,NGTS-17 b,NGTS-17,0.0008717443615770149,0.08717443615770148,0,0,2021
12559,TOI-1842 b,TOI-1842,0.0008711502531340126,0.08711502531340126,0,0,2021
12560,WASP-194 b,WASP-194,0.0008710356034499018,0.08710356034499019,0,0,2025
12561,TOI-1221 b,TOI-1221,0.0008705435354401543,0.08705435354401543,0,0,2023
12562,WASP-24 b,WASP-24,0.0008701500985520046,0.08701500985520047,0,0,2010
12563,WASP-3 b,WASP-3,0.0008700015397718249,0.0870001539771825,0,0,2007
12564,TOI-2818 b,TOI-2818,0.0008696761705896505,0.08696761705896505,0,0,2023
12565,TOI-2346 b,TOI-2346,0.0008695749868367763,0.08695749868367762,0,0,2025
12566,TOI-5340 b,TOI-5340,0.0008695155309292171,0.08695155309292171,0,0,2025
12567,EPIC 246851721 b,EPIC 246851721,0.0008694108493868371,0.0869410849386837,0,0,2018
12568,HATS-64 b,HATS-64,0.0008693653337259284,0.08693653337259284,0,0,2018
12569,Kepler-15 b,Kepler-15,0.0008693284251507508,0.08693284251507508,0,0,2011
12570,Kepler-17 b,Kepler-17,0.0008692513531228253,0.08692513531228253,0,0,2011
12571,TOI-5232 b,TOI-5232,0.0008692000321233788,0.08692000321233788,0,0,2024
12572,TOI-3877 b,TOI-3877,0.0008691391426568811,0.0869139142656881,0,0,2025
12573,WASP-180 A b,WASP-180 A,0.0008690681574542206,0.08690681574542207,0,0,2019
12574,TOI-2583 A b,TOI-2583 A,0.0008689935556467406,0.08689935556467407,0,0,2023
12575,KELT-6 b,KELT-6,0.0008687006000207446,0.08687006000207446,0,0,2014
12576,WASP-149 b,WASP-149,0.0008683349174139678,0.08683349174139679,0,0,2025
12577,TOI-4773 b,TOI-4773,0.0008683062146421464,0.08683062146421464,0,0,2025
12578,TOI-5301 b,TOI-5301,0.0008681501729241663,0.08681501729241664,0,0,2024
12579,TOI-5181 A b,TOI-5181 A,0.0008679551765640957,0.08679551765640957,0,0,2025
12580,TOI-4791 b,TOI-4791,0.0008676215121857081,0.08676215121857081,0,0,2023
12581,TOI-858 B b,TOI-858 B,0.0008672688661671858,0.08672688661671857,0,0,2023
12582,Kepler-447 b,Kepler-447,0.0008671653467380603,0.08671653467380602,0,0,2015
12583,TOI-3894 b,TOI-3894,0.0008670501651816501,0.086705016518165,0,0,2024
12584,TOI-2346 b,TOI-2346,0.0008669399502674224,0.08669399502674224,0,0,2025
12585,KELT-12 b,KELT-12,0.0008668491576872007,0.08668491576872007,0,0,2017
12586,Kepler-6 b,Kepler-6,0.0008661010001384638,0.08661010001384638,0,0,2009
12587,WASP-120 b,WASP-120,0.0008660220725448493,0.08660220725448493,0,0,2016
12588,WASP-127 b,WASP-127,0.0008657604347297075,0.08657604347297075,0,0,2016
12589,TOI-1789 b,TOI-1789,0.00086571942106929,0.086571942106929,0,0,2021
12590,NGTS-18 b,NGTS-18,0.0008656650214533612,0.08656650214533612,0,0,2021
12591,WASP-77 A b,WASP-77 A,0.0008656037030384782,0.08656037030384782,0,0,2012
12592,Kepler-41 b,Kepler-41,0.0008654306879427028,0.08654306879427029,0,0,2011
12593,TOI-5340 b,TOI-5340,0.0008654173154907527,0.08654173154907527,0,0,2025
12594,Kepler-1487 b,Kepler-1487,0.0008653060485773739,0.08653060485773739,0,0,2016
12595,TOI-2145 b,TOI-2145,0.0008652639096349824,0.08652639096349823,0,0,2023
12596,Kepler-17 b,Kepler-17,0.0008650383317835349,0.0865038331783535,0,0,2011
12597,Kepler-17 b,Kepler-17,0.0008650383317835349,0.0865038331783535,0,0,2011
12598,Kepler-17 b,Kepler-17,0.0008650383317835349,0.0865038331783535,0,0,2011
12599,TOI-2992 b,TOI-2992,0.0008648106926516779,0.0864810692651678,0,0,2025
12600,TOI-3819 b,TOI-3819,0.0008645658370257884,0.08645658370257883,0,0,2023
12601,HATS-65 b,HATS-65,0.0008643195162187079,0.08643195162187078,0,0,2018
12602,Kepler-76 b,Kepler-76,0.0008642118207571178,0.08642118207571178,0,0,2013
12603,WASP-190 b,WASP-190,0.0008640329434347113,0.08640329434347113,0,0,2019
12604,WASP-114 b,WASP-114,0.0008636827229168116,0.08636827229168116,0,0,2016
12605,Kepler-490 b,Kepler-490,0.0008636026328255611,0.08636026328255611,0,0,2016
12606,TOI-1107 b,TOI-1107,0.0008635091995750478,0.08635091995750478,0,0,2022
12607,HAT-P-50 b,HAT-P-50,0.0008626216717400621,0.0862621671740062,0,0,2015
12608,TOI-163 b,TOI-163,0.0008622970020057267,0.08622970020057266,0,0,2019
12609,K2-60 b,K2-60,0.0008622485486358229,0.08622485486358229,0,0,2016
12610,TOI-858 B b,TOI-858 B,0.0008618503610749792,0.08618503610749792,0,0,2023
12611,Kepler-6 b,Kepler-6,0.0008618031211605388,0.08618031211605388,0,0,2009
12612,Kepler-6 b,Kepler-6,0.0008618031211605388,0.08618031211605388,0,0,2009
12613,Kepler-6 b,Kepler-6,0.0008618031211605388,0.08618031211605388,0,0,2009
12614,TOI-3523 A b,TOI-3523 A,0.000861432570273642,0.0861432570273642,0,0,2025
12615,HAT-P-4 b,HAT-P-4,0.0008613121204426434,0.08613121204426434,0,0,2007
12616,Kepler-44 b,Kepler-44,0.0008610090054174546,0.08610090054174546,0,0,2011
12617,Kepler-76 b,Kepler-76,0.0008609323103582525,0.08609323103582525,0,0,2013
12618,Kepler-76 b,Kepler-76,0.0008609323103582525,0.08609323103582525,0,0,2013
12619,Kepler-76 b,Kepler-76,0.0008609323103582525,0.08609323103582525,0,0,2013
12620,TOI-6130 b,TOI-6130,0.00086085272891841,0.086085272891841,0,0,2024
12621,HATS-35 b,HATS-35,0.000860825387874366,0.0860825387874366,0,0,2016
12622,TOI-2236 b,TOI-2236,0.000860619248606969,0.0860619248606969,0,0,2022
12623,Kepler-433 b,Kepler-433,0.0008604983520174872,0.08604983520174872,0,0,2015
12624,WASP-31 b,WASP-31,0.0008603466777622676,0.08603466777622676,0,0,2010
12625,XO-4 b,XO-4,0.0008602355306682165,0.08602355306682165,0,0,2010
12626,HATS-31 b,HATS-31,0.0008602340667400555,0.08602340667400556,0,0,2016
12627,WASP-73 b,WASP-73,0.0008602307573717674,0.08602307573717674,0,0,2014
12628,TOI-3540 A b,TOI-3540 A,0.0008600929713778627,0.08600929713778627,0,0,2022
12629,HD 118203 b,HD 118203,0.0008600492498707366,0.08600492498707366,0,0,2005
12630,TOI-3464 b,TOI-3464,0.0008593747612004419,0.08593747612004418,0,0,2025
12631,Kepler-40 b,Kepler-40,0.0008582091973545036,0.08582091973545036,0,0,2010
12632,Kepler-412 b,Kepler-412,0.0008580888668914932,0.08580888668914932,0,0,2014
12633,WASP-68 b,WASP-68,0.0008578830742358091,0.0857883074235809,0,0,2014
12634,Kepler-8 b,Kepler-8,0.0008577962475498347,0.08577962475498346,0,0,2010
12635,TOI-6016 b,TOI-6016,0.000857624363748123,0.08576243637481229,0,0,2024
12636,Kepler-44 b,Kepler-44,0.0008574293910759784,0.08574293910759784,0,0,2011
12637,Kepler-44 b,Kepler-44,0.0008574293910759784,0.08574293910759784,0,0,2011
12638,Kepler-44 b,Kepler-44,0.0008574293910759784,0.08574293910759784,0,0,2011
12639,Qatar-8 b,Qatar-8,0.0008567975225508677,0.08567975225508677,0,0,2019
12640,HATS-9 b,HATS-9,0.00085639225109934,0.08563922510993399,0,0,2015
12641,K2-237 b,K2-237,0.0008563852297619063,0.08563852297619064,0,0,2018
12642,WASP-184 b,WASP-184,0.0008563004417225823,0.08563004417225822,0,0,2019
12643,KELT-18 b,KELT-18,0.0008560258113933898,0.08560258113933898,0,0,2017
12644,TOI-1295 b,TOI-1295,0.0008559853792195916,0.08559853792195915,0,0,2024
12645,TOI-5181 A b,TOI-5181 A,0.0008558916044266212,0.08558916044266211,0,0,2025
