pl_rad,pl_mass,pl_orbper,pl_sma,pl_ecc,st_temp,st_met,st_rad,st_age,st_mass,habitable,predicted_habitability_score,habitability_score
2.41,176.0769375,7.187257,0.11415,0.09,4599.0,-0.26,0.63,4.17,0.66,1,1.0,1.0
1.44,176.0769375,5.185002073,0.11415,0.09,4587.0,0.03,0.7,4.17,0.73,1,1.0,1.0
1.9,176.0769375,40.718,0.1937,0.09,4258.0,-0.3,0.58,4.17,0.65,1,0.9966666666666668,1.0
2.02,176.0769375,18.7546998,0.11415,0.09,4339.0,-0.18,0.62,3.72,0.64,1,1.0,1.0
1.8,176.0769375,6.342,0.0562,0.09,4258.0,-0.3,0.58,4.17,0.65,1,1.0,1.0
1.34,176.0769375,92.086427889875,0.409,0.04,4402.0,-0.37,0.598,2.9,0.609,1,0.9933333333333332,1.0
1.191,176.0769375,4.194766,0.11415,0.09,3623.0,0.068,0.348,4.17,0.33,1,1.0,1.0
1.03,176.0769375,5.212333,0.047,0.09,3799.0,0.02,0.492,4.17,0.948,1,1.0,1.0
1.58,176.0769375,2.984151,0.11415,0.0,3442.0,0.27,0.21,4.17,0.2749999999999999,1,0.9966666666666668,1.0
2.51,176.0769375,4.871229,0.11415,0.0,3442.0,0.27,0.21,4.17,0.2749999999999999,1,1.0,1.0
1.392,176.0769375,6.679582,0.11415,0.09,3623.0,0.068,0.348,4.17,0.33,1,1.0,1.0
1.53,176.0769375,34.14211,0.169,0.33,3740.0,-0.08,0.48,4.17,0.498,1,1.0,1.0
2.07,176.0769375,7.95486,0.0677,0.09,4097.0,0.21,0.63,4.17,0.65,1,0.9966666666666668,1.0
1.57,176.0769375,8.295611,0.065,0.09,3750.0,0.02,0.51,4.17,0.948,1,0.99,1.0
1.98,176.0769375,3.353728,0.037,0.09,4258.0,0.02,0.555,4.17,0.948,1,1.0,1.0
1.38,176.0769375,9.032178,0.11415,0.09,4385.0,-0.38,0.49,4.17,0.54,1,1.0,1.0
1.99,176.0769375,3.67626,0.0405,0.09,4097.0,0.21,0.63,4.17,0.65,1,1.0,1.0
2.0,176.0769375,7.51574,0.0614,0.09,3845.0,-0.09,0.53,4.17,0.55,1,1.0,1.0
2.29,176.0769375,32.6479,0.1716,0.09,4044.0,0.12,0.61,4.17,0.63,1,0.99,1.0
1.32,176.0769375,2.399964,0.031,0.13,4402.71,0.02,0.619575,4.17,0.701968,1,1.0,1.0
1.93,176.0769375,5.608352,0.055,0.12,4402.71,0.02,0.619575,4.17,0.701968,1,0.9966666666666668,1.0
1.35,176.0769375,6.49441289,0.11415,0.09,4630.0,-0.1,0.69,5.25,0.71,1,0.9833333333333332,1.0
0.977,176.0769375,0.71912603,0.00733,0.09,3442.0,0.07,0.123,6.6,0.2749999999999999,1,1.0,1.0
2.43818351,4.0,10.77,0.05366,0.33,3442.0,-0.2,0.2113,4.17,0.2749999999999999,1,0.9966666666666668,1.0
1.84,4.57,5.0066338,0.0464,0.25,4041.0,-0.19,0.569,3.0,0.577,1,1.0,1.0
2.73,176.0769375,12.3764661,0.11415,0.09,4286.0,-0.09,0.63,3.8,0.65,1,0.9966666666666668,1.0
2.7,176.0769375,22.7802,0.13,0.09,3900.0,0.0,0.53,4.17,0.58,1,1.0,1.0
1.345,176.0769375,9.715043,0.11415,0.09,3623.0,0.068,0.348,4.17,0.33,1,1.0,1.0
2.222,176.0769375,13.62749,0.11415,0.09,3623.0,0.068,0.348,4.17,0.33,1,1.0,1.0
2.43818351,1.4,9.8658,0.0496,0.116,3442.0,-0.02,0.1967,5.0,0.2749999999999999,1,1.0,1.0
2.43818351,1728.9864384999996,92.086427889875,1.25,0.27,4175.0,-0.37,1.9420000000000004,4.17,1.5950000000000002,1,0.9933333333333332,1.0
2.43818351,0.26,5.12338,0.02881,0.0,3442.0,0.02,0.141,4.17,0.2749999999999999,1,1.0,1.0
2.43818351,1.055,11.18465,0.04848,0.0,3442.0,0.02,0.141,4.17,0.2749999999999999,1,1.0,1.0
2.03,176.0769375,1.2916,0.0189,0.09,3778.0,-0.05,0.51,4.17,0.54,1,1.0,1.0
1.49,176.0769375,3.835476,0.0373,0.09,3695.0,-0.19,0.45,4.17,0.47,1,1.0,1.0
2.0,176.0769375,10.59357,0.0727,0.09,3499.0,0.09,0.436,4.17,0.457,1,1.0,1.0
2.6116925,176.0769375,9.7833,0.0761,0.24,3990.0,-0.02,0.643,4.17,0.615,1,0.9966666666666668,1.0
2.0,176.0769375,23.968127,0.132,0.09,3750.0,0.02,0.51,4.17,0.948,1,1.0,1.0
